family,champion,repeat,fold,seed,train_max_epsilon,ensemble_prediction,morgan_arm_prediction,physical_arm_prediction,prediction_minus_train_max,prediction_at_or_below_train_max
frozen_v1_log_eps_xgb,PC,0,2,44,178.47,14.546941411,14.6721475358,14.4217352861,-163.923058589,true
frozen_v1_log_eps_xgb,EC,0,4,46,178.47,22.4046958179,14.9478707518,29.861520884,-156.065304182,true
frozen_v1_log_eps_xgb,PC,1,4,51,85.6,19.9196767594,14.9462081351,24.8931453836,-65.6803232406,true
frozen_v1_log_eps_xgb,EC,1,4,51,85.6,21.7973492772,19.0829492401,24.5117493143,-63.8026507228,true
frozen_v1_log_eps_xgb,EC,2,0,52,178.47,24.4972407308,16.971400225,32.0230812366,-153.972759269,true
frozen_v1_log_eps_xgb,PC,2,1,53,178.47,15.677033677,13.4943395687,17.8597277854,-162.792966323,true
frozen_v1_log_eps_xgb,PC,3,2,59,178.47,15.3143390879,14.016464268,16.6122139078,-163.155660912,true
frozen_v1_log_eps_xgb,EC,3,4,61,178.47,23.2630360312,14.9485125748,31.5775594876,-155.206963969,true
frozen_v1_log_eps_xgb,PC,4,0,62,178.47,17.173071217,16.7915387983,17.5546036357,-161.296928783,true
frozen_v1_log_eps_xgb,EC,4,1,63,106.14,20.4933181603,16.8885886746,24.098047646,-85.6466818397,true
frozen_v1_log_eps_xgb,EC,5,2,69,178.47,25.3358730149,22.1166070603,28.5551389696,-153.134126985,true
frozen_v1_log_eps_xgb,PC,5,4,71,178.47,16.6393491454,12.5947533914,20.6839448995,-161.830650855,true
frozen_v1_log_eps_xgb,PC,6,2,74,106.14,19.7422414873,16.4218118574,23.0626711172,-86.3977585127,true
frozen_v1_log_eps_xgb,EC,6,2,74,106.14,22.0948678837,14.4009322828,29.7888034846,-84.0451321163,true
frozen_v1_log_eps_xgb,PC,7,4,81,178.47,16.8368220729,15.4680284481,18.2056156977,-161.633177927,true
frozen_v1_log_eps_xgb,EC,7,4,81,178.47,22.9061798986,18.6015994986,27.2107602986,-155.563820101,true
frozen_v1_log_eps_xgb,PC,8,2,84,178.47,16.9500043319,14.8537243935,19.0462842703,-161.519995668,true
frozen_v1_log_eps_xgb,EC,8,2,84,178.47,25.4981392665,15.8943202357,35.1019582973,-152.971860733,true
frozen_v1_log_eps_xgb,EC,9,0,87,178.47,22.2743944532,15.2404321447,29.3083567618,-156.195605547,true
frozen_v1_log_eps_xgb,PC,9,2,89,178.47,17.6382128193,17.5010359911,17.7753896476,-160.831787181,true
