split_index,fold,repeat,seed,train_count_before_exclusion,train_count_after_exclusion,test_count,champions_in_raw_train,champions_removed_EC,champions_removed_PC,champions_in_test,champions_intersect_train_after_exclusion,train_max_epsilon,train_min_epsilon
0,0,0,42,188,186,48,EC;PC,1,1,,0,178.47,1.843
1,1,0,43,189,187,47,EC;PC,1,1,,0,106.14,1.843
2,2,0,44,189,188,47,EC,1,0,PC,0,178.47,1.843
3,3,0,45,189,187,47,EC;PC,1,1,,0,178.47,1.843
4,4,0,46,189,188,47,PC,0,1,EC,0,178.47,1.844
5,0,1,47,188,186,48,EC;PC,1,1,,0,178.47,1.843
6,1,1,48,189,187,47,EC;PC,1,1,,0,178.47,1.844
7,2,1,49,189,187,47,EC;PC,1,1,,0,178.47,1.843
8,3,1,50,189,187,47,EC;PC,1,1,,0,178.47,1.843
9,4,1,51,189,189,47,,0,0,EC;PC,0,85.6,1.843
10,0,2,52,188,187,48,PC,0,1,EC,0,178.47,1.843
11,1,2,53,189,188,47,EC,1,0,PC,0,178.47,1.843
12,2,2,54,189,187,47,EC;PC,1,1,,0,106.14,1.843
13,3,2,55,189,187,47,EC;PC,1,1,,0,178.47,1.875
14,4,2,56,189,187,47,EC;PC,1,1,,0,178.47,1.843
15,0,3,57,188,186,48,EC;PC,1,1,,0,178.47,1.843
16,1,3,58,189,187,47,EC;PC,1,1,,0,178.47,1.843
17,2,3,59,189,188,47,EC,1,0,PC,0,178.47,1.844
18,3,3,60,189,187,47,EC;PC,1,1,,0,106.14,1.843
19,4,3,61,189,188,47,PC,0,1,EC,0,178.47,1.843
20,0,4,62,188,187,48,EC,1,0,PC,0,178.47,1.843
21,1,4,63,189,188,47,PC,0,1,EC,0,106.14,1.843
22,2,4,64,189,187,47,EC;PC,1,1,,0,178.47,1.89
23,3,4,65,189,187,47,EC;PC,1,1,,0,178.47,1.843
24,4,4,66,189,187,47,EC;PC,1,1,,0,178.47,1.843
25,0,5,67,188,186,48,EC;PC,1,1,,0,178.47,1.843
26,1,5,68,189,187,47,EC;PC,1,1,,0,106.14,1.843
27,2,5,69,189,188,47,PC,0,1,EC,0,178.47,1.843
28,3,5,70,189,187,47,EC;PC,1,1,,0,178.47,1.89
29,4,5,71,189,188,47,EC,1,0,PC,0,178.47,1.843
30,0,6,72,188,186,48,EC;PC,1,1,,0,178.47,1.843
31,1,6,73,189,187,47,EC;PC,1,1,,0,178.47,1.843
32,2,6,74,189,189,47,,0,0,EC;PC,0,106.14,1.875
33,3,6,75,189,187,47,EC;PC,1,1,,0,178.47,1.843
34,4,6,76,189,187,47,EC;PC,1,1,,0,178.47,1.843
35,0,7,77,188,186,48,EC;PC,1,1,,0,178.47,1.843
36,1,7,78,189,187,47,EC;PC,1,1,,0,106.14,1.843
37,2,7,79,189,187,47,EC;PC,1,1,,0,178.47,1.843
38,3,7,80,189,187,47,EC;PC,1,1,,0,178.47,1.843
39,4,7,81,189,189,47,,0,0,EC;PC,0,178.47,1.844
40,0,8,82,188,186,48,EC;PC,1,1,,0,178.47,1.843
41,1,8,83,189,187,47,EC;PC,1,1,,0,85.6,1.844
42,2,8,84,189,189,47,,0,0,EC;PC,0,178.47,1.843
43,3,8,85,189,187,47,EC;PC,1,1,,0,178.47,1.843
44,4,8,86,189,187,47,EC;PC,1,1,,0,178.47,1.843
45,0,9,87,188,187,48,PC,0,1,EC,0,178.47,1.843
46,1,9,88,189,187,47,EC;PC,1,1,,0,178.47,1.843
47,2,9,89,189,188,47,EC,1,0,PC,0,178.47,1.843
48,3,9,90,189,187,47,EC;PC,1,1,,0,78.87,1.875
49,4,9,91,189,187,47,EC;PC,1,1,,0,178.47,1.843
