family,stratum,n,mae,rmse,mean_target
frozen_v1_log_eps_xgb,le_20,182,2.46259018475,3.36720872336,8.04409258242
frozen_v1_log_eps_xgb,20_60,47,10.913571633,12.9999217001,32.0015531915
frozen_v1_log_eps_xgb,gt60,7,73.5729105096,85.3660145621,95.0542857143
linear_raw_mu,le_20,182,6.85796819136,8.30188461614,8.04409258242
linear_raw_mu,20_60,47,15.1083613748,17.4459492043,32.0015531915
linear_raw_mu,gt60,7,76.8738833365,86.8891747898,95.0542857143
onsager_mu,le_20,182,67582423.0327,445305190.048,8.04409258242
onsager_mu,20_60,47,89361727.9442,471304226.929,32.0015531915
onsager_mu,gt60,7,42857212.0349,113389336.157,95.0542857143
ridge_raw_multivar,le_20,182,7.27168455536,9.06182573019,8.04409258242
ridge_raw_multivar,20_60,47,12.5055367894,15.6661489625,32.0015531915
ridge_raw_multivar,gt60,7,70.4346884828,81.0300775581,95.0542857143
ridge_onsager_multivar,le_20,182,85714292.4136,482097082.014,8.04409258242
ridge_onsager_multivar,20_60,47,51063860.6195,223130593.729,32.0015531915
ridge_onsager_multivar,gt60,7,84.9436681186,93.0962043617,95.0542857143
delta_onsager_xgb,le_20,182,19780226.3845,224587544.394,8.04409258242
delta_onsager_xgb,20_60,47,114893638.995,491199159.473,32.0015531915
delta_onsager_xgb,gt60,7,342857235.454,907114744.581,95.0542857143
delta_ridge_onsager_xgb,le_20,182,37912094.2122,292488393.555,8.04409258242
delta_ridge_onsager_xgb,20_60,47,127659608.577,535942238.823,32.0015531915
delta_ridge_onsager_xgb,gt60,7,300000079.108,793725414.2,95.0542857143
dummy_mean,le_20,182,7.43267422904,8.63408079816,8.04409258242
dummy_mean,20_60,47,17.2509943407,19.4842033233,32.0015531915
dummy_mean,gt60,7,80.445899459,88.6204307951,95.0542857143
