inchikey,name,smiles,complex_charge,solvent_frozen_energy_hartree,solvent_relaxed_energy_hartree,li_plus_energy_hartree,complex_energy_hartree,li_binding_energy_ev,li_binding_distance_a,q_max_h,q_min_hetero,esp_imbalance,solvent_run,solvent_match_basis,solvent_run_candidates_considered,solvent_run_matches,conformers_attempted,conformers_converged,best_seed,hetero_atoms_within_2_6_a,xtb_seconds,status,error
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,1,-22.4790633061,-22.4813161828,0.1659637,-22.3843998463,-1.87887448,1.993721485,0.14813502,-0.18738475,0.33551977,data/interim/xtb_features/AFBPFSWMIHJQDM-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,43,1,2.522188,ok,
ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1,-82.6830246805,-98.0249022594,0.1659637,-98.004987603,-3.974196935,1.873229317,0.33244398,-0.497413,0.82985698,data/interim/xtb_features/ALYCOCULEAWWJO-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,3,42,3,57.731095,ok,
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,1,-20.8823577036,-20.8834533181,0.1659637,-20.8146397295,-2.643589206,1.762698255,0.28181901,-0.44011882,0.72193783,data/interim/xtb_features/AMQJEAYHLZJPGS-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,44,1,1.988605,ok,
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,1,-19.7218540825,-19.7241976567,0.1659637,-19.6542242002,-2.612027591,1.655234064,0.07924687,-0.40848733,0.4877342,data/interim/xtb_features/BAPJBEWLBFYGME-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,43,1,1.377264,ok,
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,1,-27.2102388695,-27.2118510333,0.1659637,-27.1454743643,-2.709901165,1.786159294,0.28563271,-0.44253588,0.72816859,data/interim/xtb_features/BBMCTIGTTCKYKF-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,44,1,2.674892,ok,
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,1,-14.5571098911,-14.5581426748,0.1659637,-14.4769973632,-2.308025926,1.759111197,0.28833294,-0.44363835,0.73197129,data/interim/xtb_features/BDERNNFJNOPAEC-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,43,1,1.624106,ok,
BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,O=C1CCCC1,1,-18.8497543131,-18.8529707211,0.1659637,-18.7827658607,-2.60573077,1.66770166,0.06777365,-0.35991684,0.42769049,data/interim/xtb_features/BGTOWKSIORTVQH-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,45,1,1.127152,ok,
BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,CCCCCCCCC,1,-29.4807954915,,0.1659637,,,,,,,,,,,0,0,,,0.000000,undefined_no_hetero_site,seed 42: no O or N coordination site; seed 43: no O or N coordination site; seed 44: no O or N coordination site
BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",CCC(O)CO,1,-21.7847325672,-21.7864129909,0.1659637,-21.7387761185,-3.219837009,1.783443216,0.3040379,-0.44710542,0.75114332,data/interim/xtb_features/BMRWNKZVCUKKSR-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,42,2,2.024762,ok,
BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,1,-17.7260252018,-17.727346206,0.1659637,-17.651512211,-2.452554217,1.749314614,0.28422563,-0.45053402,0.73475965,data/interim/xtb_features/BTANRVKWQNVYAZ-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,44,1,1.898010,ok,
BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,N#CCCCCC#N,1,-22.6900588211,-22.6936551698,0.1659637,-22.645973511,-3.21861831,1.958188847,0.067788,-0.23628065,0.30406865,data/interim/xtb_features/BTGRAWJCKBQKAO-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,42,2,2.623173,ok,
BTNXBLUGMAMSSH-UHFFFAOYSA-N,octanedinitrile,N#CCCCCCCC#N,1,-29.0174417296,-29.0218338933,0.1659637,-28.9860395483,-3.542088597,1.930407674,0.06729717,-0.24433584,0.31163301,data/interim/xtb_features/BTNXBLUGMAMSSH-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,43,2,3.804903,ok,
CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,CC(C)(N)CO,1,-21.1468988854,-21.1489429933,0.1659637,-21.1028210636,-3.2610607,1.787512583,0.28787675,-0.44468872,0.73256547,data/interim/xtb_features/CBTVGIZVANVGBH-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,45,2,2.779359,ok,
CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,O=C1CCCCCC1,1,-25.1717347899,-25.1744567213,0.1659637,-25.110324165,-2.770966582,1.664820181,0.05657826,-0.35779758,0.41437584,data/interim/xtb_features/CGZZMOTZOONQIA-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,43,1,2.316479,ok,
CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,C=CC(=O)OCCCC,1,-29.2160082782,-29.2199233697,0.1659637,-29.1611848053,-2.91774458,1.684440785,0.07101338,-0.41796145,0.48897483,data/interim/xtb_features/CQEYYJKEWSMYFG-UHFFFAOYSA-N,polarizability_au+dipole_D,1,1,4,4,42,1,2.928513,ok,
