inchikey,name,list,rule_a_flagged,rule_a_hits,rule_a_max_abs_iqr_units,rule_b_flagged,rule_b_nn_distance,rule_b_threshold,flagged_any,in_primary_held_out_set
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,solvent,False,,0.000000,False,0.368555,1.853343,False,False
ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,solvent,True,molecular_volume_A3:+7.498;tpsa_A2:+1.862;heavy_atom_count:+10.000,10.000000,False,1.324445,1.896877,True,False
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,solvent,False,,0.000000,False,0.024587,1.855220,False,False
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,solvent,False,,0.000000,False,0.359295,1.853508,False,False
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,solvent,False,,0.000000,False,0.291298,1.855276,False,False
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,solvent,False,,0.000000,False,0.036409,1.855507,False,False
BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,solvent,False,,0.000000,False,0.222643,1.853227,False,False
BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,solvent,True,molecular_volume_A3:+1.596,1.596150,False,0.415154,1.857555,True,False
BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",solvent,True,hbd:+2.000,2.000000,False,0.235956,1.855653,True,False
BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,solvent,False,,0.000000,False,0.016306,1.855032,False,False
BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,solvent,True,dipole_D:+1.583;mu_sq_over_Vm:+2.645,2.644889,False,0.847230,1.855312,True,False
BTNXBLUGMAMSSH-UHFFFAOYSA-N,octanedinitrile,solvent,False,,0.000000,False,0.424474,1.853280,False,False
CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,solvent,True,hbd:+2.000,2.000000,False,0.765805,1.855488,True,False
CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,solvent,False,,0.000000,False,0.025003,1.853184,False,False
CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,solvent,False,,0.000000,False,0.436117,1.853408,False,False
CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,solvent,True,hbd:+2.000,2.000000,False,0.611337,1.855503,True,False
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,solvent,False,,0.000000,False,0.117353,1.855018,False,False
DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",solvent,True,hbd:+2.000,2.000000,False,0.432930,1.855687,True,False
DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,solvent,False,,0.000000,False,0.825181,1.854428,False,False
