protocol,repeat,fold,physical_columns_shuffled,label_position_pairs_matched,label_position_pairs_expected,max_abs_score_difference,max_abs_multiset_difference,tolerance,labels_sat_on_the_frozen_block
corrected_purity,0,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,0,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,0,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,0,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,0,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,1,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,1,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,1,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,1,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,1,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,2,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,2,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,2,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,2,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,2,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,3,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,3,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,3,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,3,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,3,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,4,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,4,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,4,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,4,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,4,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,5,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,5,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,5,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,5,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,5,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,6,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,6,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,6,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,6,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,6,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,7,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,7,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,7,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,7,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,7,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,8,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,8,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,8,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,8,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,8,4,10,10,10,0.0,0.0,1e-12,True
corrected_purity,9,0,10,10,10,0.0,0.0,1e-12,True
corrected_purity,9,1,10,10,10,0.0,0.0,1e-12,True
corrected_purity,9,2,10,10,10,0.0,0.0,1e-12,True
corrected_purity,9,3,10,10,10,0.0,0.0,1e-12,True
corrected_purity,9,4,10,10,10,0.0,0.0,1e-12,True
