protocol,repeat,fold,rank,member,importance,ranked_in_top_3,ranking_rows,test_rows_visible_to_ranking
corrected_purity,0,0,1,donor_acceptor_pair_density,53.08148307012183,1,328,0
corrected_purity,0,0,2,double_bond_count,3.1748957572010474,1,328,0
corrected_purity,0,0,3,donor_count,1.7712872088574576,1,328,0
corrected_purity,0,0,4,heteroatom_over_carbon,1.0401833090539176,0,328,0
corrected_purity,0,0,5,rotatable_bond_count,0.1251684218377743,0,328,0
corrected_purity,0,0,6,acceptor_count,0.046891513121588936,0,328,0
corrected_purity,0,0,7,has_3plus_donors,0.044791453189928866,0,328,0
corrected_purity,0,0,8,ring_count,0.009614872642386215,0,328,0
corrected_purity,0,0,9,has_2_donors,0.0,0,328,0
corrected_purity,0,0,10,has_1_donor,-0.0007269368495001297,0,328,0
corrected_purity,0,1,1,donor_acceptor_pair_density,19.12670288394128,1,321,0
corrected_purity,0,1,2,heteroatom_over_carbon,17.012737624612036,1,321,0
corrected_purity,0,1,3,rotatable_bond_count,2.6342676701826337,1,321,0
corrected_purity,0,1,4,donor_count,2.014782384414522,0,321,0
corrected_purity,0,1,5,has_1_donor,0.4380270391682923,0,321,0
corrected_purity,0,1,6,ring_count,0.23788135864078086,0,321,0
corrected_purity,0,1,7,double_bond_count,0.08460611373099347,0,321,0
corrected_purity,0,1,8,acceptor_count,0.03391706960811073,0,321,0
corrected_purity,0,1,9,has_2_donors,0.0,0,321,0
corrected_purity,0,1,10,has_3plus_donors,0.0,0,321,0
corrected_purity,0,2,1,donor_acceptor_pair_density,144.13511789632267,1,385,0
corrected_purity,0,2,2,heteroatom_over_carbon,8.112688662911566,1,385,0
corrected_purity,0,2,3,double_bond_count,0.8256278598917769,1,385,0
corrected_purity,0,2,4,acceptor_count,0.7724136830246747,0,385,0
corrected_purity,0,2,5,rotatable_bond_count,0.26023177268309244,0,385,0
corrected_purity,0,2,6,donor_count,0.17316848101066107,0,385,0
corrected_purity,0,2,7,has_1_donor,0.0,0,385,0
corrected_purity,0,2,8,has_2_donors,0.0,0,385,0
corrected_purity,0,2,9,has_3plus_donors,0.0,0,385,0
corrected_purity,0,2,10,ring_count,0.0,0,385,0
corrected_purity,0,3,1,donor_acceptor_pair_density,5.467229149147407,1,411,0
corrected_purity,0,3,2,donor_count,2.229336610530182,1,411,0
corrected_purity,0,3,3,heteroatom_over_carbon,1.7222136506996504,1,411,0
corrected_purity,0,3,4,rotatable_bond_count,0.2246833719823016,0,411,0
corrected_purity,0,3,5,double_bond_count,0.09234248152145064,0,411,0
corrected_purity,0,3,6,has_3plus_donors,0.03256576773947817,0,411,0
corrected_purity,0,3,7,acceptor_count,0.0,0,411,0
corrected_purity,0,3,8,has_1_donor,0.0,0,411,0
corrected_purity,0,3,9,has_2_donors,0.0,0,411,0
corrected_purity,0,3,10,ring_count,0.0,0,411,0
corrected_purity,0,4,1,donor_acceptor_pair_density,69.07308690944717,1,383,0
corrected_purity,0,4,2,heteroatom_over_carbon,2.121856993171498,1,383,0
corrected_purity,0,4,3,rotatable_bond_count,0.6110047281935967,1,383,0
corrected_purity,0,4,4,donor_count,0.5753008177929022,0,383,0
corrected_purity,0,4,5,acceptor_count,0.4576949575599176,0,383,0
corrected_purity,0,4,6,double_bond_count,0.41121161110344967,0,383,0
corrected_purity,0,4,7,has_1_donor,0.1755772033482111,0,383,0
corrected_purity,0,4,8,has_2_donors,0.0,0,383,0
corrected_purity,0,4,9,has_3plus_donors,0.0,0,383,0
corrected_purity,0,4,10,ring_count,0.0,0,383,0
corrected_purity,1,0,1,donor_acceptor_pair_density,53.82657058747566,1,355,0
corrected_purity,1,0,2,rotatable_bond_count,5.075684854566434,1,355,0
corrected_purity,1,0,3,double_bond_count,2.699612851681597,1,355,0
corrected_purity,1,0,4,has_1_donor,1.0051359780831437,0,355,0
corrected_purity,1,0,5,heteroatom_over_carbon,0.6072899375929085,0,355,0
corrected_purity,1,0,6,donor_count,0.46587806313070246,0,355,0
corrected_purity,1,0,7,acceptor_count,0.009439427595120028,0,355,0
corrected_purity,1,0,8,has_2_donors,0.0,0,355,0
corrected_purity,1,0,9,has_3plus_donors,0.0,0,355,0
corrected_purity,1,0,10,ring_count,0.0,0,355,0
corrected_purity,1,1,1,heteroatom_over_carbon,8.330035070990894,1,379,0
corrected_purity,1,1,2,donor_acceptor_pair_density,2.0681762749645007,1,379,0
corrected_purity,1,1,3,rotatable_bond_count,1.5455070526772674,1,379,0
corrected_purity,1,1,4,donor_count,0.9978388675169393,0,379,0
corrected_purity,1,1,5,double_bond_count,0.1475448279368964,0,379,0
corrected_purity,1,1,6,acceptor_count,0.10894108675496383,0,379,0
corrected_purity,1,1,7,has_3plus_donors,0.0663502042557796,0,379,0
corrected_purity,1,1,8,has_1_donor,0.06334358591014262,0,379,0
corrected_purity,1,1,9,has_2_donors,0.04351988080849859,0,379,0
corrected_purity,1,1,10,ring_count,0.0,0,379,0
corrected_purity,1,2,1,donor_acceptor_pair_density,84.15640853777562,1,365,0
corrected_purity,1,2,2,rotatable_bond_count,1.4428929682971738,1,365,0
corrected_purity,1,2,3,double_bond_count,0.8660526821423881,1,365,0
corrected_purity,1,2,4,donor_count,0.833361955276537,0,365,0
corrected_purity,1,2,5,acceptor_count,0.34589597355384666,0,365,0
corrected_purity,1,2,6,heteroatom_over_carbon,0.1963502345202007,0,365,0
corrected_purity,1,2,7,has_1_donor,0.0,0,365,0
corrected_purity,1,2,8,has_2_donors,0.0,0,365,0
corrected_purity,1,2,9,has_3plus_donors,0.0,0,365,0
corrected_purity,1,2,10,ring_count,0.0,0,365,0
corrected_purity,1,3,1,donor_acceptor_pair_density,52.25213494015416,1,346,0
corrected_purity,1,3,2,heteroatom_over_carbon,6.24098099020598,1,346,0
corrected_purity,1,3,3,double_bond_count,1.4770933763466416,1,346,0
corrected_purity,1,3,4,rotatable_bond_count,0.4047797800500543,0,346,0
corrected_purity,1,3,5,acceptor_count,0.22083483900146264,0,346,0
corrected_purity,1,3,6,donor_count,0.09219076486620637,0,346,0
corrected_purity,1,3,7,ring_count,0.04732746801266904,0,346,0
corrected_purity,1,3,8,has_1_donor,0.0,0,346,0
corrected_purity,1,3,9,has_2_donors,0.0,0,346,0
corrected_purity,1,3,10,has_3plus_donors,0.0,0,346,0
corrected_purity,1,4,1,donor_acceptor_pair_density,77.09542763027618,1,383,0
corrected_purity,1,4,2,heteroatom_over_carbon,2.345926865417415,1,383,0
corrected_purity,1,4,3,donor_count,0.8144861925754233,1,383,0
corrected_purity,1,4,4,double_bond_count,0.6481133801743996,0,383,0
corrected_purity,1,4,5,has_1_donor,0.28417264553935934,0,383,0
corrected_purity,1,4,6,rotatable_bond_count,0.27988929245935107,0,383,0
corrected_purity,1,4,7,acceptor_count,0.1520856246090947,0,383,0
corrected_purity,1,4,8,has_3plus_donors,0.028826840819766275,0,383,0
corrected_purity,1,4,9,has_2_donors,0.0,0,383,0
corrected_purity,1,4,10,ring_count,0.0,0,383,0
corrected_purity,2,0,1,donor_acceptor_pair_density,55.45829632619592,1,383,0
corrected_purity,2,0,2,double_bond_count,2.4889851719749116,1,383,0
corrected_purity,2,0,3,donor_count,1.6458782642347816,1,383,0
corrected_purity,2,0,4,heteroatom_over_carbon,1.162353809133524,0,383,0
corrected_purity,2,0,5,acceptor_count,0.785420197882512,0,383,0
corrected_purity,2,0,6,rotatable_bond_count,0.3300935151257531,0,383,0
corrected_purity,2,0,7,has_1_donor,0.019379891682060446,0,383,0
corrected_purity,2,0,8,has_2_donors,0.0,0,383,0
corrected_purity,2,0,9,has_3plus_donors,0.0,0,383,0
corrected_purity,2,0,10,ring_count,0.0,0,383,0
corrected_purity,2,1,1,donor_acceptor_pair_density,56.51458205578848,1,341,0
corrected_purity,2,1,2,heteroatom_over_carbon,2.5330142060967282,1,341,0
corrected_purity,2,1,3,rotatable_bond_count,2.434068841127323,1,341,0
corrected_purity,2,1,4,acceptor_count,0.7907023455040244,0,341,0
corrected_purity,2,1,5,donor_count,0.7209090565584203,0,341,0
corrected_purity,2,1,6,has_1_donor,0.24798980097058512,0,341,0
corrected_purity,2,1,7,double_bond_count,0.08418457711862477,0,341,0
corrected_purity,2,1,8,ring_count,0.03765615941218078,0,341,0
corrected_purity,2,1,9,has_2_donors,0.0,0,341,0
corrected_purity,2,1,10,has_3plus_donors,0.0,0,341,0
corrected_purity,2,2,1,donor_acceptor_pair_density,7.239227638505881,1,380,0
corrected_purity,2,2,2,donor_count,4.528764304793292,1,380,0
corrected_purity,2,2,3,heteroatom_over_carbon,1.7859802744570645,1,380,0
corrected_purity,2,2,4,rotatable_bond_count,1.2826029024037033,0,380,0
corrected_purity,2,2,5,ring_count,0.08204092245195493,0,380,0
corrected_purity,2,2,6,has_3plus_donors,0.05090609221230095,0,380,0
corrected_purity,2,2,7,double_bond_count,0.012132483252093115,0,380,0
corrected_purity,2,2,8,acceptor_count,0.0,0,380,0
corrected_purity,2,2,9,has_1_donor,0.0,0,380,0
corrected_purity,2,2,10,has_2_donors,0.0,0,380,0
corrected_purity,2,3,1,donor_acceptor_pair_density,26.237241294485468,1,358,0
corrected_purity,2,3,2,double_bond_count,2.0909627870737633,1,358,0
corrected_purity,2,3,3,rotatable_bond_count,1.4499157921135104,1,358,0
corrected_purity,2,3,4,heteroatom_over_carbon,0.841367697604678,0,358,0
corrected_purity,2,3,5,donor_count,0.4030549467549349,0,358,0
corrected_purity,2,3,6,ring_count,0.3104074516231474,0,358,0
corrected_purity,2,3,7,acceptor_count,0.18147966215660935,0,358,0
corrected_purity,2,3,8,has_2_donors,0.029473322543726255,0,358,0
corrected_purity,2,3,9,has_1_donor,0.0,0,358,0
corrected_purity,2,3,10,has_3plus_donors,0.0,0,358,0
corrected_purity,2,4,1,donor_acceptor_pair_density,108.91047408635734,1,366,0
corrected_purity,2,4,2,heteroatom_over_carbon,2.712435476617552,1,366,0
corrected_purity,2,4,3,double_bond_count,0.6021201184252671,1,366,0
corrected_purity,2,4,4,rotatable_bond_count,0.48083333949690815,0,366,0
corrected_purity,2,4,5,donor_count,0.458976780876067,0,366,0
corrected_purity,2,4,6,acceptor_count,0.35301155681606095,0,366,0
corrected_purity,2,4,7,has_2_donors,0.046440287422796565,0,366,0
corrected_purity,2,4,8,has_1_donor,0.014082730417027753,0,366,0
corrected_purity,2,4,9,has_3plus_donors,0.0,0,366,0
corrected_purity,2,4,10,ring_count,0.0,0,366,0
corrected_purity,3,0,1,donor_acceptor_pair_density,38.81182160700263,1,348,0
corrected_purity,3,0,2,heteroatom_over_carbon,5.317723897174119,1,348,0
corrected_purity,3,0,3,donor_count,3.1147041762723346,1,348,0
corrected_purity,3,0,4,ring_count,0.4156055219229649,0,348,0
corrected_purity,3,0,5,double_bond_count,0.358834021668188,0,348,0
corrected_purity,3,0,6,has_2_donors,0.15483400420792956,0,348,0
corrected_purity,3,0,7,rotatable_bond_count,0.14052837502083312,0,348,0
corrected_purity,3,0,8,acceptor_count,0.08304887404264427,0,348,0
corrected_purity,3,0,9,has_1_donor,0.0,0,348,0
corrected_purity,3,0,10,has_3plus_donors,0.0,0,348,0
corrected_purity,3,1,1,donor_acceptor_pair_density,87.84107648949235,1,417,0
corrected_purity,3,1,2,rotatable_bond_count,9.368327144500158,1,417,0
corrected_purity,3,1,3,heteroatom_over_carbon,1.6484425325764516,1,417,0
corrected_purity,3,1,4,donor_count,0.7299670295979327,0,417,0
corrected_purity,3,1,5,double_bond_count,0.4563082326295582,0,417,0
corrected_purity,3,1,6,has_2_donors,0.45342883021501734,0,417,0
corrected_purity,3,1,7,acceptor_count,0.1295185546855301,0,417,0
corrected_purity,3,1,8,ring_count,0.0026972495396024123,0,417,0
corrected_purity,3,1,9,has_1_donor,0.0,0,417,0
corrected_purity,3,1,10,has_3plus_donors,0.0,0,417,0
corrected_purity,3,2,1,donor_acceptor_pair_density,88.7400129423683,1,295,0
corrected_purity,3,2,2,double_bond_count,1.2322557315070781,1,295,0
corrected_purity,3,2,3,heteroatom_over_carbon,1.060836100460552,1,295,0
corrected_purity,3,2,4,rotatable_bond_count,0.6654713864049976,0,295,0
corrected_purity,3,2,5,acceptor_count,0.18964103662395182,0,295,0
corrected_purity,3,2,6,donor_count,0.05529096518697152,0,295,0
corrected_purity,3,2,7,has_1_donor,0.03708248835214256,0,295,0
corrected_purity,3,2,8,has_2_donors,0.0,0,295,0
corrected_purity,3,2,9,has_3plus_donors,0.0,0,295,0
corrected_purity,3,2,10,ring_count,0.0,0,295,0
corrected_purity,3,3,1,donor_acceptor_pair_density,22.167119010779363,1,366,0
corrected_purity,3,3,2,double_bond_count,2.0812840697561215,1,366,0
corrected_purity,3,3,3,heteroatom_over_carbon,1.8130807737463226,1,366,0
corrected_purity,3,3,4,acceptor_count,1.187260718342331,0,366,0
corrected_purity,3,3,5,donor_count,0.9240144375114093,0,366,0
corrected_purity,3,3,6,rotatable_bond_count,0.5470664959636812,0,366,0
corrected_purity,3,3,7,has_2_donors,0.0,0,366,0
corrected_purity,3,3,8,has_3plus_donors,0.0,0,366,0
corrected_purity,3,3,9,ring_count,0.0,0,366,0
corrected_purity,3,3,10,has_1_donor,-0.04286945525361278,0,366,0
corrected_purity,3,4,1,donor_acceptor_pair_density,74.88454377415985,1,402,0
corrected_purity,3,4,2,heteroatom_over_carbon,2.186314751722375,1,402,0
corrected_purity,3,4,3,donor_count,1.9561924177148111,1,402,0
corrected_purity,3,4,4,rotatable_bond_count,1.238906821670719,0,402,0
corrected_purity,3,4,5,double_bond_count,1.0194051280044516,0,402,0
corrected_purity,3,4,6,acceptor_count,0.06427153071497926,0,402,0
corrected_purity,3,4,7,has_1_donor,0.0,0,402,0
corrected_purity,3,4,8,has_2_donors,0.0,0,402,0
corrected_purity,3,4,9,has_3plus_donors,0.0,0,402,0
corrected_purity,3,4,10,ring_count,0.0,0,402,0
corrected_purity,4,0,1,donor_acceptor_pair_density,35.320688240018434,1,398,0
corrected_purity,4,0,2,heteroatom_over_carbon,3.0691543524919638,1,398,0
corrected_purity,4,0,3,donor_count,0.8059318747170314,1,398,0
corrected_purity,4,0,4,rotatable_bond_count,0.6807554389100833,0,398,0
corrected_purity,4,0,5,double_bond_count,0.18007649979724208,0,398,0
corrected_purity,4,0,6,acceptor_count,0.15157802160783737,0,398,0
corrected_purity,4,0,7,has_1_donor,0.0,0,398,0
corrected_purity,4,0,8,has_2_donors,0.0,0,398,0
corrected_purity,4,0,9,has_3plus_donors,0.0,0,398,0
corrected_purity,4,0,10,ring_count,0.0,0,398,0
corrected_purity,4,1,1,donor_acceptor_pair_density,65.54262313142702,1,340,0
corrected_purity,4,1,2,heteroatom_over_carbon,6.997644417897031,1,340,0
corrected_purity,4,1,3,rotatable_bond_count,2.156185152523712,1,340,0
corrected_purity,4,1,4,donor_count,1.5386288496904463,0,340,0
corrected_purity,4,1,5,ring_count,0.16513894482183447,0,340,0
corrected_purity,4,1,6,acceptor_count,0.14421976011316198,0,340,0
corrected_purity,4,1,7,has_3plus_donors,0.06332193520393108,0,340,0
corrected_purity,4,1,8,double_bond_count,0.03528468930773284,0,340,0
corrected_purity,4,1,9,has_1_donor,0.0,0,340,0
corrected_purity,4,1,10,has_2_donors,0.0,0,340,0
corrected_purity,4,2,1,donor_acceptor_pair_density,55.112167388392514,1,346,0
corrected_purity,4,2,2,double_bond_count,8.787305796581407,1,346,0
corrected_purity,4,2,3,donor_count,1.2255125927634847,1,346,0
corrected_purity,4,2,4,heteroatom_over_carbon,0.655409732462496,0,346,0
corrected_purity,4,2,5,acceptor_count,0.3612571739641801,0,346,0
corrected_purity,4,2,6,rotatable_bond_count,0.335593370893602,0,346,0
corrected_purity,4,2,7,has_1_donor,0.2875951209882584,0,346,0
corrected_purity,4,2,8,has_2_donors,0.05822853915005055,0,346,0
corrected_purity,4,2,9,has_3plus_donors,0.0,0,346,0
corrected_purity,4,2,10,ring_count,0.0,0,346,0
corrected_purity,4,3,1,donor_acceptor_pair_density,26.20250549689199,1,384,0
corrected_purity,4,3,2,rotatable_bond_count,1.8359031658372207,1,384,0
corrected_purity,4,3,3,heteroatom_over_carbon,1.6074446941768,1,384,0
corrected_purity,4,3,4,donor_count,1.6052402391502767,0,384,0
corrected_purity,4,3,5,double_bond_count,0.27838918502316073,0,384,0
corrected_purity,4,3,6,acceptor_count,0.1590614553405428,0,384,0
corrected_purity,4,3,7,has_1_donor,0.0,0,384,0
corrected_purity,4,3,8,has_2_donors,0.0,0,384,0
corrected_purity,4,3,9,has_3plus_donors,0.0,0,384,0
corrected_purity,4,3,10,ring_count,0.0,0,384,0
corrected_purity,4,4,1,donor_acceptor_pair_density,84.96294137712584,1,360,0
corrected_purity,4,4,2,rotatable_bond_count,3.1278441376344666,1,360,0
corrected_purity,4,4,3,double_bond_count,0.9519424677684493,1,360,0
corrected_purity,4,4,4,heteroatom_over_carbon,0.6383215884326656,0,360,0
corrected_purity,4,4,5,donor_count,0.541669391165802,0,360,0
corrected_purity,4,4,6,acceptor_count,0.14435178296459425,0,360,0
corrected_purity,4,4,7,has_2_donors,0.011717995110002969,0,360,0
corrected_purity,4,4,8,has_1_donor,0.0,0,360,0
corrected_purity,4,4,9,has_3plus_donors,0.0,0,360,0
corrected_purity,4,4,10,ring_count,0.0,0,360,0
corrected_purity,5,0,1,donor_acceptor_pair_density,23.292251754893154,1,394,0
corrected_purity,5,0,2,heteroatom_over_carbon,3.2179893489474956,1,394,0
corrected_purity,5,0,3,donor_count,1.0212943787535043,1,394,0
corrected_purity,5,0,4,rotatable_bond_count,0.5730376365523089,0,394,0
corrected_purity,5,0,5,acceptor_count,0.318502991850344,0,394,0
corrected_purity,5,0,6,double_bond_count,0.24297667632897083,0,394,0
corrected_purity,5,0,7,has_1_donor,0.0,0,394,0
corrected_purity,5,0,8,has_2_donors,0.0,0,394,0
corrected_purity,5,0,9,has_3plus_donors,0.0,0,394,0
corrected_purity,5,0,10,ring_count,0.0,0,394,0
corrected_purity,5,1,1,donor_acceptor_pair_density,154.8318186166695,1,376,0
corrected_purity,5,1,2,rotatable_bond_count,1.059745966189033,1,376,0
corrected_purity,5,1,3,heteroatom_over_carbon,0.4859034833658941,1,376,0
corrected_purity,5,1,4,double_bond_count,0.38143921449179413,0,376,0
corrected_purity,5,1,5,donor_count,0.3596063705569043,0,376,0
corrected_purity,5,1,6,acceptor_count,0.15338040551338614,0,376,0
corrected_purity,5,1,7,has_1_donor,0.0,0,376,0
corrected_purity,5,1,8,has_2_donors,0.0,0,376,0
corrected_purity,5,1,9,has_3plus_donors,0.0,0,376,0
corrected_purity,5,1,10,ring_count,0.0,0,376,0
corrected_purity,5,2,1,donor_acceptor_pair_density,28.33892296360249,1,346,0
corrected_purity,5,2,2,double_bond_count,1.0099978570037382,1,346,0
corrected_purity,5,2,3,heteroatom_over_carbon,0.9346737312479615,1,346,0
corrected_purity,5,2,4,rotatable_bond_count,0.5213590364209469,0,346,0
corrected_purity,5,2,5,donor_count,0.47843992445625716,0,346,0
corrected_purity,5,2,6,has_2_donors,0.01788113040275056,0,346,0
corrected_purity,5,2,7,acceptor_count,0.017454867777482914,0,346,0
corrected_purity,5,2,8,has_1_donor,0.0,0,346,0
corrected_purity,5,2,9,has_3plus_donors,0.0,0,346,0
corrected_purity,5,2,10,ring_count,0.0,0,346,0
corrected_purity,5,3,1,donor_acceptor_pair_density,54.11435928058026,1,329,0
corrected_purity,5,3,2,heteroatom_over_carbon,7.100205283174667,1,329,0
corrected_purity,5,3,3,has_1_donor,4.5277231292230775,1,329,0
corrected_purity,5,3,4,donor_count,3.847204994034684,0,329,0
corrected_purity,5,3,5,acceptor_count,0.28100250045422,0,329,0
corrected_purity,5,3,6,double_bond_count,0.2511313442683587,0,329,0
corrected_purity,5,3,7,rotatable_bond_count,0.05420901096279055,0,329,0
corrected_purity,5,3,8,ring_count,0.007338131465608318,0,329,0
corrected_purity,5,3,9,has_2_donors,0.0,0,329,0
corrected_purity,5,3,10,has_3plus_donors,0.0,0,329,0
