protocol,repeat,fold,rank,member,importance,ranked_in_top_3,ranking_rows,test_rows_visible_to_ranking
purity,0,0,1,heteroatom_over_carbon,77.59082090445868,1,328,0
purity,0,0,2,donor_acceptor_pair_density,76.25823745746216,1,328,0
purity,0,0,3,ring_count,70.75168490629453,1,328,0
purity,0,0,4,double_bond_count,36.70294153803409,0,328,0
purity,0,0,5,rotatable_bond_count,9.67893299872142,0,328,0
purity,0,0,6,has_3plus_donors,5.712757779375056,0,328,0
purity,0,0,7,has_2_donors,1.8656030346898929,0,328,0
purity,0,0,8,has_1_donor,0.36903219863285514,0,328,0
purity,0,0,9,donor_count,0.16418096921476355,0,328,0
purity,0,0,10,acceptor_count,0.0,0,328,0
purity,0,1,1,heteroatom_over_carbon,97.20111300296094,1,321,0
purity,0,1,2,donor_acceptor_pair_density,44.97508026265445,1,321,0
purity,0,1,3,double_bond_count,43.12658450756927,1,321,0
purity,0,1,4,has_1_donor,8.001783084224217,0,321,0
purity,0,1,5,ring_count,6.085413143917428,0,321,0
purity,0,1,6,rotatable_bond_count,6.0785032337112215,0,321,0
purity,0,1,7,has_2_donors,3.203930335975166,0,321,0
purity,0,1,8,has_3plus_donors,2.814795420733016,0,321,0
purity,0,1,9,donor_count,0.5556668723431025,0,321,0
purity,0,1,10,acceptor_count,0.0,0,321,0
purity,0,2,1,heteroatom_over_carbon,84.70468554750137,1,385,0
purity,0,2,2,donor_acceptor_pair_density,48.83847668435032,1,385,0
purity,0,2,3,ring_count,47.04515780050443,1,385,0
purity,0,2,4,double_bond_count,21.21777240822041,0,385,0
purity,0,2,5,rotatable_bond_count,10.35804354394723,0,385,0
purity,0,2,6,has_2_donors,9.106475897782788,0,385,0
purity,0,2,7,has_1_donor,4.002522814101244,0,385,0
purity,0,2,8,donor_count,0.17878007389572304,0,385,0
purity,0,2,9,has_3plus_donors,0.14708515014177395,0,385,0
purity,0,2,10,acceptor_count,0.0,0,385,0
purity,0,3,1,heteroatom_over_carbon,99.98036605484295,1,411,0
purity,0,3,2,donor_acceptor_pair_density,29.969467699471313,1,411,0
purity,0,3,3,ring_count,24.282238344341987,1,411,0
purity,0,3,4,has_2_donors,11.873941871030274,0,411,0
purity,0,3,5,double_bond_count,9.874828933092312,0,411,0
purity,0,3,6,has_1_donor,4.974703438874823,0,411,0
purity,0,3,7,rotatable_bond_count,2.8060749180468654,0,411,0
purity,0,3,8,donor_count,0.0733495961680557,0,411,0
purity,0,3,9,has_3plus_donors,0.008362889623023229,0,411,0
purity,0,3,10,acceptor_count,0.0,0,411,0
purity,0,4,1,heteroatom_over_carbon,59.05980646887961,1,383,0
purity,0,4,2,ring_count,51.604930792267815,1,383,0
purity,0,4,3,double_bond_count,22.440244844741116,1,383,0
purity,0,4,4,rotatable_bond_count,13.009902386529255,0,383,0
purity,0,4,5,donor_acceptor_pair_density,7.550589133119973,0,383,0
purity,0,4,6,has_1_donor,1.7139407584752575,0,383,0
purity,0,4,7,has_2_donors,1.0528002957021265,0,383,0
purity,0,4,8,has_3plus_donors,0.2928967463587521,0,383,0
purity,0,4,9,donor_count,0.1377702214389771,0,383,0
purity,0,4,10,acceptor_count,0.0,0,383,0
purity,1,0,1,heteroatom_over_carbon,168.0705027409368,1,355,0
purity,1,0,2,double_bond_count,71.66945797039897,1,355,0
purity,1,0,3,donor_acceptor_pair_density,62.412716486919955,1,355,0
purity,1,0,4,ring_count,50.814222377835954,0,355,0
purity,1,0,5,rotatable_bond_count,5.1600557472184,0,355,0
purity,1,0,6,has_2_donors,2.4994800687252856,0,355,0
purity,1,0,7,has_3plus_donors,1.1073733861103456,0,355,0
purity,1,0,8,has_1_donor,0.5863732763565311,0,355,0
purity,1,0,9,donor_count,0.13393563246742465,0,355,0
purity,1,0,10,acceptor_count,0.0,0,355,0
purity,1,1,1,heteroatom_over_carbon,130.408151075056,1,379,0
purity,1,1,2,donor_acceptor_pair_density,20.639112986529327,1,379,0
purity,1,1,3,ring_count,17.636818189144787,1,379,0
purity,1,1,4,has_1_donor,16.75961587979252,0,379,0
purity,1,1,5,has_2_donors,6.028065604421574,0,379,0
purity,1,1,6,double_bond_count,4.481265661488903,0,379,0
purity,1,1,7,rotatable_bond_count,1.58176255085168,0,379,0
purity,1,1,8,donor_count,0.08134245917256422,0,379,0
purity,1,1,9,has_3plus_donors,0.01026796827006867,0,379,0
purity,1,1,10,acceptor_count,0.0,0,379,0
purity,1,2,1,ring_count,120.13927182508854,1,365,0
purity,1,2,2,heteroatom_over_carbon,78.60770162464694,1,365,0
purity,1,2,3,donor_acceptor_pair_density,60.26022229726801,1,365,0
purity,1,2,4,rotatable_bond_count,38.9712515655177,0,365,0
purity,1,2,5,double_bond_count,29.824873572606304,0,365,0
purity,1,2,6,has_1_donor,15.04648793548233,0,365,0
purity,1,2,7,has_2_donors,2.3682299066347734,0,365,0
purity,1,2,8,has_3plus_donors,0.07554211910076702,0,365,0
purity,1,2,9,donor_count,0.04324662438332183,0,365,0
purity,1,2,10,acceptor_count,0.0,0,365,0
purity,1,3,1,double_bond_count,51.144235950061834,1,346,0
purity,1,3,2,heteroatom_over_carbon,47.94612744231902,1,346,0
purity,1,3,3,donor_acceptor_pair_density,22.60260848213967,1,346,0
purity,1,3,4,rotatable_bond_count,20.968953843957674,0,346,0
purity,1,3,5,ring_count,17.515910233035257,0,346,0
purity,1,3,6,has_2_donors,1.6832737257886699,0,346,0
purity,1,3,7,has_1_donor,0.8190986034753891,0,346,0
purity,1,3,8,donor_count,0.2236835996892695,0,346,0
purity,1,3,9,has_3plus_donors,0.05427078375026836,0,346,0
purity,1,3,10,acceptor_count,0.0,0,346,0
purity,1,4,1,heteroatom_over_carbon,104.54330428242258,1,383,0
purity,1,4,2,ring_count,33.96963359959191,1,383,0
purity,1,4,3,donor_acceptor_pair_density,30.748522593100336,1,383,0
purity,1,4,4,double_bond_count,21.344193481880726,0,383,0
purity,1,4,5,rotatable_bond_count,13.248935832497168,0,383,0
purity,1,4,6,has_1_donor,3.546494012246686,0,383,0
purity,1,4,7,has_3plus_donors,0.9009941565795904,0,383,0
