protocol,representation,repeat,fold,test_rows,mae,r2,spearman
lever_3_target_transform_and_robust_loss,Morgan,0,0,129,0.701594352448531,-0.8536354238471433,0.0734636125660525
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,0,129,0.30742126177887363,0.5867739498336051,0.6948217181438329
lever_3_target_transform_and_robust_loss,Physical,0,0,129,0.3244337816727944,0.5341080533190015,0.7470703823393429
lever_3_target_transform_and_robust_loss,Morgan,0,1,136,0.9699496269295969,-0.4804582442142562,-0.014441101931639078
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,1,136,0.8103156311683581,-0.04873069576739719,0.48543069405266004
lever_3_target_transform_and_robust_loss,Physical,0,1,136,0.6460536037760668,0.3605436978166924,0.8481374420935454
lever_3_target_transform_and_robust_loss,Morgan,0,2,72,0.6232306604598215,-0.5284909526151418,0.0032032754956288034
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,2,72,0.3192123353277901,0.1912061779031795,0.4883494537201999
lever_3_target_transform_and_robust_loss,Physical,0,2,72,0.7963345320743035,-1.5011662935443049,0.5333172349802403
lever_3_target_transform_and_robust_loss,Morgan,0,3,46,0.3981286884577436,0.25640742861839516,0.5745739108688088
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,3,46,0.3169318303685344,0.4806426336513674,0.7888088772220203
lever_3_target_transform_and_robust_loss,Physical,0,3,46,0.39911784789850396,0.38264772806126746,0.6980174117726692
lever_3_target_transform_and_robust_loss,Morgan,0,4,74,0.8491975975341648,0.18092387587484537,0.6772483312723486
lever_3_target_transform_and_robust_loss,Morgan+Physical,0,4,74,0.6245588847264694,0.50080924393649,0.776173236633514
lever_3_target_transform_and_robust_loss,Physical,0,4,74,0.39751144649761644,0.8507524336308273,0.8424641343144129
lever_3_target_transform_and_robust_loss,Morgan,1,0,102,0.49427735371835,0.5146527333956987,0.8945936281511386
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,0,102,0.3361259651748947,0.6790419121946947,0.934317858567282
lever_3_target_transform_and_robust_loss,Physical,1,0,102,0.6197379303209017,0.22530496747691764,0.4667461516699098
lever_3_target_transform_and_robust_loss,Morgan,1,1,78,0.6229273509774109,0.12097083677780329,0.36075936957953286
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,1,78,0.46898497183261856,0.437390956991495,0.8531455995577625
lever_3_target_transform_and_robust_loss,Physical,1,1,78,0.3115829601286909,0.7002557126286482,0.8261042734088117
lever_3_target_transform_and_robust_loss,Morgan,1,2,92,0.6563339691916837,0.2739768663142328,0.8552432980221375
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,2,92,0.4690109843548006,0.582139048547017,0.7265709530580472
lever_3_target_transform_and_robust_loss,Physical,1,2,92,0.3218240174832374,0.7798358935340469,0.7211851519662087
lever_3_target_transform_and_robust_loss,Morgan,1,3,111,0.588960125393309,0.38894904653703677,0.7720495143564885
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,3,111,0.4143799293828705,0.6389374129092892,0.873368689869367
lever_3_target_transform_and_robust_loss,Physical,1,3,111,0.2971823539597289,0.7397005370664376,0.8957224786939482
lever_3_target_transform_and_robust_loss,Morgan,1,4,74,0.49180674294299703,0.6121397529668606,0.5586271245122891
lever_3_target_transform_and_robust_loss,Morgan+Physical,1,4,74,0.2652642045066566,0.8316927324620517,0.7831260613110805
lever_3_target_transform_and_robust_loss,Physical,1,4,74,0.3137310019978329,0.8779826145914007,0.8258793532381387
lever_3_target_transform_and_robust_loss,Morgan,2,0,74,0.8295752347644575,0.21339020495011862,0.34843187902191547
lever_3_target_transform_and_robust_loss,Morgan+Physical,2,0,74,0.6986540459136021,0.46533234992692063,0.6968639324972193
lever_3_target_transform_and_robust_loss,Physical,2,0,74,0.47909767538202636,0.7515579078966812,0.7349507366229772
lever_3_target_transform_and_robust_loss,Morgan,2,1,116,0.5154364015283209,-0.2000487566462934,0.6131765383772034
lever_3_target_transform_and_robust_loss,Morgan+Physical,2,1,116,0.39468474299596795,0.35222684029452334,0.5029007298490696
lever_3_target_transform_and_robust_loss,Physical,2,1,116,0.5814776602581113,-0.9208493599160963,0.507991772154714
lever_3_target_transform_and_robust_loss,Morgan,2,2,77,0.4415714270412538,-0.13447004432062992,0.4957730150007929
lever_3_target_transform_and_robust_loss,Morgan+Physical,2,2,77,0.35427346567106494,-0.116609654085575,0.5791463131021437
lever_3_target_transform_and_robust_loss,Physical,2,2,77,0.4479371641677299,-1.0487568983583149,0.5161651756895389
