order,inchikey,name,smiles,heavy_atom_count,is_scored,status,n_conformers,force_field,dipole_D_frozen,dipole_D_conformer_mean,dipole_D_conformer_std,dipole_D_conformer_range,dipole_D_conformer_boltzmann,dipole_D_conformer_min,dipole_D_conformer_max,molar_volume_m3_mol_frozen,mu_sq_over_Vm_frozen,mu_sq_over_Vm_conformer_mean,embed_seconds,xtb_seconds_total,xtb_seconds_median,xtb_seconds_max,error
0,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,O,1,yes,ok,8,MMFF94,2.216,2.287,0.0,0.0,2.287,2.287,2.287,1.1890115e-05,413003.25,439892.2129853244,0.027886500000022352,0.5078394001466222,0.05934055004036054,0.08755310002015904,
1,OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,CO,2,yes,ok,8,MMFF94,1.915,1.987,0.0,0.0,1.987,1.987,1.987,2.2330098e-05,164227.9,176809.30016518515,0.006917899998370558,0.6039421000168659,0.07185229999595322,0.10847790003754199,
2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,CCO,3,yes,ok,8,MMFF94,1.721,1.9707499999999998,0.10262401034845592,0.23699999999999988,2.021495957281808,1.793,2.03,3.23943e-05,91430.932,119893.17758062371,0.006502099975477904,0.5501539999386296,0.06878435000544414,0.08020779996877536,
3,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,N=CO,3,yes,ok,8,MMFF94,0.439,1.0542500000000001,0.6678500486636202,1.5429999999999997,0.6925503089566019,0.668,2.211,2.6039737e-05,7401.0349,42682.576344761095,0.006348100025206804,0.6707736999960616,0.07158710001385771,0.16615710000041872,
4,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,4,yes,ok,8,MMFF94,2.05,1.952375,0.09124546221593713,0.31100000000000017,1.9785573032518124,1.724,2.035,4.2521131e-05,98833.212,89644.09109026287,0.009979200025554746,0.5923709000344388,0.0717053500120528,0.099750800000038,
5,HZAXFHJVJLSVMW-UHFFFAOYSA-N,2-aminoethan-1-ol,NCCO,4,yes,ok,8,MMFF94,3.18,2.442125,0.9175561886745682,2.08,2.4899168428233653,1.321,3.401,3.949079e-05,256069.83,151021.90955473413,0.009993700019549578,0.7223048999439925,0.09420409999438561,0.12354790000244975,
6,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,CS(C)=O,4,yes,ok,8,MMFF94,4.12,4.62,0.0,0.0,4.62,4.62,4.62,4.3364231e-05,391437.82,492212.11832397076,0.008884600014425814,0.636057699972298,0.07601765001891181,0.1062171999947168,
7,KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,CC(C)O,4,yes,ok,8,MMFF94,2.02,1.88775,0.09136568009925822,0.21099999999999985,1.992155185251734,1.835,2.046,4.2395871e-05,96245.222,84055.35677047419,0.012561999959871173,0.6094307999592274,0.07252104999497533,0.10063480003736913,
8,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",OCCO,4,yes,ok,8,MMFF94,2.402,2.275875,0.9436595569245299,3.062,2.4513733475186252,0.0,3.062,3.7645606e-05,153261.02,137588.62098341572,0.008226100006140769,0.7028610999695957,0.08721949998289347,0.10422979999566451,
9,QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,CC(=O)O,4,yes,ok,8,MMFF94,2.031,1.945,0.0,0.0,1.9450000000000003,1.945,1.945,3.4128676e-05,120864.96,110845.93495510932,0.007807300018612295,0.6688585999654606,0.0864620499778539,0.0966647999593988,
10,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,5,yes,ok,8,MMFF94,2.033,1.9263749999999997,0.1258182593068271,0.30999999999999983,1.9983661941443776,1.764,2.074,5.2426349e-05,78836.103,70783.5031698469,0.0179022999946028,0.7225364999030717,0.09033229999477044,0.10875239997403696,
11,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,CC(C)(C)O,5,yes,ok,8,MMFF94,1.829,1.855,0.0,0.0,1.8550000000000002,1.855,1.855,5.2349265e-05,63902.349,65732.05946635544,0.015646899992134422,0.8042278999928385,0.09772955000516959,0.15650129999266937,
12,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",CC(O)CO,5,yes,ok,8,MMFF94,2.758,2.256625,1.1154849772072235,2.866,2.194326126472327,0.314,3.18,4.7618271e-05,159740.45,106941.22830761748,0.014785400009714067,0.7175168000394478,0.08825855000759475,0.1114355000318028,
13,LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,CCCCO,5,yes,ok,8,MMFF94,2.043,1.912,0.13949820787379313,0.3739999999999999,1.9960762557189409,1.712,2.086,5.2686505e-05,79220.457,69386.72436139008,0.021269199962262064,0.7907787001458928,0.09394915000302717,0.14240900002187118,
14,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,CN=C(C)O,5,yes,ok,8,MMFF94,1.593,1.472,0.235,0.47,1.2998852945660713,1.237,1.707,4.6091057e-05,55057.297,47010.941840626474,0.016128200048115104,0.6763229999342002,0.08080649998737499,0.10789479996310547,
15,SHQSVMDWKBRBGB-UHFFFAOYSA-N,cyclobutanone,O=C1CCC1,5,yes,ok,8,MMFF94,3.227,3.263,0.0,0.0,3.263,3.263,3.263,4.3566575e-05,239025.65,244388.4790117194,0.0123668999876827,0.6856011999770999,0.08554354999796487,0.09360419999575242,
16,ZMXDDKWLCZADIW-UHFFFAOYSA-N,dimethylformamide,CN(C)C=O,5,yes,ok,8,MMFF94,4.598,4.612,0.0,0.0,4.612000000000001,4.612,4.612,4.6153687e-05,458069.67,460863.3758772078,0.01309740002034232,0.8052166999550536,0.08545710000908002,0.16386359999887645,
17,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,CC(C)CO,5,yes,ok,8,MMFF94,1.57,1.9191250000000002,0.11351589921680577,0.32099999999999995,1.975282950166621,1.728,2.049,5.2378171e-05,47059.68,70316.33016786708,0.02648489997955039,0.701256399974227,0.08709754998562858,0.10237269999925047,
18,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,6,yes,ok,8,MMFF94,1.692,1.835,0.13058809287220638,0.385,1.956193364303629,1.7,2.085,6.2519457e-05,45791.569,53858.833098950294,0.03175419999752194,0.7824155000853352,0.10007695003878325,0.11549669998930767,
19,BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,6,yes,ok,8,MMFF94,1.854,2.512125,0.24043265039299477,0.7270000000000003,2.3994334655162373,1.876,2.603,5.0831686e-05,67621.523,124150.35801930711,0.012757399992551655,0.6917261000489816,0.08796999999321997,0.11099210003158078,
20,BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,O=C1CCCC1,6,yes,ok,8,MMFF94,3.302,3.439,0.0,0.0,3.439,3.439,3.439,5.2797312e-05,206510.59,224002.33178537575,0.02030670002568513,0.735074500029441,0.09224075000383891,0.1009970000013709,
