model,target,train_size,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
linear_scalar,oxidation_free_energy,100,0,0,80,20,e0657be07eda73ec2da5a8106d31c2595d776b428d822bc98b93121592f2332c,aad0b8d426378a9cf5923b85658828f3b7330750d3c3731f95bc38493a8e01e8,0.28981401541357765,0.3982084221420534,0.9091864875222383
linear_scalar,oxidation_free_energy,100,0,1,80,20,865773e480c6ec0d26f284c13d5db595e14a07033b29528450f1a1ddb3604c44,0c3afeef0e65ab589cb73137393fe345678aa74d2a65ddd1a67368bd776f8fd1,0.2888456906389884,0.42366189248082864,0.9069567617748151
linear_scalar,oxidation_free_energy,100,0,2,80,20,0e1bd972c700b337039baf6ae0274d2dc0c297615b8fbb9c6e11ea9f466860dc,3671bbe8709d9fd6343511ba08134538accb64ad806d5390bf8a5a50eed5da82,0.2798965258762346,0.3250478346331736,0.9603572264546869
linear_scalar,oxidation_free_energy,100,0,3,80,20,c52441db2cf8255423e43c5f3de4bb199a2c4ee222a1442aea7f9173456b47b3,216712cc11b82f72d3aea0c9b67792ba806a31ae9bd6d08c5d67418fcef4219c,0.32756274581283507,0.3904521676638037,0.9526155933398184
linear_scalar,oxidation_free_energy,100,0,4,80,20,82ceb6f388af0808f0a3a638f85ab891623bd8f3ae35d8a2c0447d8e4048671f,32931c167f57940f282edf1f574eb8d7b48cd1be61417fa6b22a8720e4e5f344,0.2381484386491226,0.28834520112994844,0.9703130857783435
linear_scalar,oxidation_free_energy,100,1,0,80,20,e9d0ac0498eb5191a954f727d5122104091d0331a62b523dc8b3bcf159f79a53,194e261e4fa706265f7b64e8e04b40e4b496c96b4cb24bd4ebde9bf31abe83d5,0.2288553122242604,0.25587392052145946,0.9405588195366064
linear_scalar,oxidation_free_energy,100,1,1,80,20,21d875f332408d95c03af7bc410cc660cea65d5fa3bdad22928d526b8899e8a0,50a8453672dc4635364086a338ee3ee22207e6a2bad6957ab8ca5753d39c4800,0.2691024306461247,0.3724524949810762,0.9566393591902373
linear_scalar,oxidation_free_energy,100,1,2,80,20,e91785ed05324c8099e53f7df2e52a048ae514966684cf27ca992cb3cd8381a4,99be64a805b12cbf6c1944f3070101d833f5c35af056bc3eb608eb44c1ca9140,0.26610270441960543,0.39017710664958016,0.8799755706178574
linear_scalar,oxidation_free_energy,100,1,3,80,20,bb0968faee81324c6c83d1904ad05663b405c889b116a04acd4629c5a8bdeb6c,2e9fb23fa8e2fdc0f4445ed61122c04e487369733394212c903065d721fc5d3c,0.25784732739676636,0.3163547813538281,0.9512530131052683
linear_scalar,oxidation_free_energy,100,1,4,80,20,bf4e23511e0a476e49b5cd5a2f2be4c73510121b16eec0ca3cea33eb0616e32e,7f47ccfc1cf59a4909a0856aac026f637668c7f1aba468fc06da688d9a8ce211,0.36659913469981303,0.4396225261398564,0.9563728054107571
linear_scalar,oxidation_free_energy,100,2,0,80,20,92c1ecdc247551f87d8509103e7e0f4a422e2224aba22a588d7115bab8dcb469,574c9272f6105d45b56c82a65c3b338837639e04e1daaebe0da62f197a4b601b,0.2974740842586646,0.42306449238310895,0.8881881993824269
linear_scalar,oxidation_free_energy,100,2,1,80,20,74eb192116d63b48a7c4c76ca1ea4bf7dedd56c87e53724522aa887c14229dde,35b19d64c50cad4b05a50cb601bc77097d81fa0c6381145f2ffce02e9bdb8ec7,0.2147453497117228,0.3425832552357896,0.9576274002962366
linear_scalar,oxidation_free_energy,100,2,2,80,20,8b5668edb25d5879eaaa522752f81cde852d1632739cdcb6a17d031404d10926,739f567d8ba0f448af9732b792d7dc03647a8a4c5125ad723161a57fa9fbb25e,0.30559999490852224,0.3332762293903469,0.9680812912732368
linear_scalar,oxidation_free_energy,100,2,3,80,20,54023a353a38f6e61b78cb1ac69648cc0c932b0eddc5ec0f2a36d4b8f948bd92,d55d1a41a186de5d4d671a411900234fe2754821af0121952802c560f77d56ad,0.27822464361658894,0.37255537618367696,0.9375308792469669
linear_scalar,oxidation_free_energy,100,2,4,80,20,95e18be0e697fa7acb899d05194fed5d05c35cb4bf90d06b88641aa5ea8cc1c9,5cef0ee0ca26fef5879a6de5428a02d1e15c0c6020acdf558d7697f4196854a1,0.28290205387402456,0.3144519738096107,0.9546412186429193
xgb_enriched,oxidation_free_energy,100,0,0,80,20,e0657be07eda73ec2da5a8106d31c2595d776b428d822bc98b93121592f2332c,aad0b8d426378a9cf5923b85658828f3b7330750d3c3731f95bc38493a8e01e8,0.22273473815071157,0.269641800803497,0.9583606415939432
xgb_enriched,oxidation_free_energy,100,0,1,80,20,865773e480c6ec0d26f284c13d5db595e14a07033b29528450f1a1ddb3604c44,0c3afeef0e65ab589cb73137393fe345678aa74d2a65ddd1a67368bd776f8fd1,0.2601473324934432,0.39669209842539943,0.9184257455555718
xgb_enriched,oxidation_free_energy,100,0,2,80,20,0e1bd972c700b337039baf6ae0274d2dc0c297615b8fbb9c6e11ea9f466860dc,3671bbe8709d9fd6343511ba08134538accb64ad806d5390bf8a5a50eed5da82,0.33641140106813056,0.5071328997326141,0.9035031695070648
xgb_enriched,oxidation_free_energy,100,0,3,80,20,c52441db2cf8255423e43c5f3de4bb199a2c4ee222a1442aea7f9173456b47b3,216712cc11b82f72d3aea0c9b67792ba806a31ae9bd6d08c5d67418fcef4219c,0.25317642569084453,0.39396128879835307,0.9517600477322408
xgb_enriched,oxidation_free_energy,100,0,4,80,20,82ceb6f388af0808f0a3a638f85ab891623bd8f3ae35d8a2c0447d8e4048671f,32931c167f57940f282edf1f574eb8d7b48cd1be61417fa6b22a8720e4e5f344,0.221363741507912,0.3027350458482845,0.9672761042158486
xgb_enriched,oxidation_free_energy,100,1,0,80,20,e9d0ac0498eb5191a954f727d5122104091d0331a62b523dc8b3bcf159f79a53,194e261e4fa706265f7b64e8e04b40e4b496c96b4cb24bd4ebde9bf31abe83d5,0.2241515231482481,0.24977121965221424,0.9433604012839703
xgb_enriched,oxidation_free_energy,100,1,1,80,20,21d875f332408d95c03af7bc410cc660cea65d5fa3bdad22928d526b8899e8a0,50a8453672dc4635364086a338ee3ee22207e6a2bad6957ab8ca5753d39c4800,0.21093608595510888,0.24710043803662116,0.9809146140557129
xgb_enriched,oxidation_free_energy,100,1,2,80,20,e91785ed05324c8099e53f7df2e52a048ae514966684cf27ca992cb3cd8381a4,99be64a805b12cbf6c1944f3070101d833f5c35af056bc3eb608eb44c1ca9140,0.28506531224379617,0.4041778599184623,0.8712073372603089
xgb_enriched,oxidation_free_energy,100,1,3,80,20,bb0968faee81324c6c83d1904ad05663b405c889b116a04acd4629c5a8bdeb6c,2e9fb23fa8e2fdc0f4445ed61122c04e487369733394212c903065d721fc5d3c,0.1910863048237843,0.29165057638354286,0.9585690731212929
xgb_enriched,oxidation_free_energy,100,1,4,80,20,bf4e23511e0a476e49b5cd5a2f2be4c73510121b16eec0ca3cea33eb0616e32e,7f47ccfc1cf59a4909a0856aac026f637668c7f1aba468fc06da688d9a8ce211,0.3968237254398218,0.5856498371452306,0.9225763813345456
xgb_enriched,oxidation_free_energy,100,2,0,80,20,92c1ecdc247551f87d8509103e7e0f4a422e2224aba22a588d7115bab8dcb469,574c9272f6105d45b56c82a65c3b338837639e04e1daaebe0da62f197a4b601b,0.24161434980173907,0.36883267298321754,0.9150167648243965
xgb_enriched,oxidation_free_energy,100,2,1,80,20,74eb192116d63b48a7c4c76ca1ea4bf7dedd56c87e53724522aa887c14229dde,35b19d64c50cad4b05a50cb601bc77097d81fa0c6381145f2ffce02e9bdb8ec7,0.20995796597649133,0.26547100528331274,0.9745559034060984
xgb_enriched,oxidation_free_energy,100,2,2,80,20,8b5668edb25d5879eaaa522752f81cde852d1632739cdcb6a17d031404d10926,739f567d8ba0f448af9732b792d7dc03647a8a4c5125ad723161a57fa9fbb25e,0.2989865005084312,0.503881391285807,0.9270385804613382
xgb_enriched,oxidation_free_energy,100,2,3,80,20,54023a353a38f6e61b78cb1ac69648cc0c932b0eddc5ec0f2a36d4b8f948bd92,d55d1a41a186de5d4d671a411900234fe2754821af0121952802c560f77d56ad,0.2630698386226868,0.4097052680825974,0.9244513305470206
xgb_enriched,oxidation_free_energy,100,2,4,80,20,95e18be0e697fa7acb899d05194fed5d05c35cb4bf90d06b88641aa5ea8cc1c9,5cef0ee0ca26fef5879a6de5428a02d1e15c0c6020acdf558d7697f4196854a1,0.23738745862196992,0.2887318387607845,0.961757869343643
linear_scalar,reduction_free_energy,100,0,0,80,20,e0657be07eda73ec2da5a8106d31c2595d776b428d822bc98b93121592f2332c,aad0b8d426378a9cf5923b85658828f3b7330750d3c3731f95bc38493a8e01e8,0.43388483321064103,0.6150157647386125,0.7658089625635677
linear_scalar,reduction_free_energy,100,0,1,80,20,865773e480c6ec0d26f284c13d5db595e14a07033b29528450f1a1ddb3604c44,0c3afeef0e65ab589cb73137393fe345678aa74d2a65ddd1a67368bd776f8fd1,0.5636171487342017,0.7462263917578568,0.6692203856058334
linear_scalar,reduction_free_energy,100,0,2,80,20,0e1bd972c700b337039baf6ae0274d2dc0c297615b8fbb9c6e11ea9f466860dc,3671bbe8709d9fd6343511ba08134538accb64ad806d5390bf8a5a50eed5da82,0.43021133492396385,0.7834428177399559,0.4832120643934785
linear_scalar,reduction_free_energy,100,0,3,80,20,c52441db2cf8255423e43c5f3de4bb199a2c4ee222a1442aea7f9173456b47b3,216712cc11b82f72d3aea0c9b67792ba806a31ae9bd6d08c5d67418fcef4219c,0.5342123130955214,0.8826138915273332,0.4714039462152566
linear_scalar,reduction_free_energy,100,0,4,80,20,82ceb6f388af0808f0a3a638f85ab891623bd8f3ae35d8a2c0447d8e4048671f,32931c167f57940f282edf1f574eb8d7b48cd1be61417fa6b22a8720e4e5f344,0.3240306500353763,0.43482769119487263,0.8900406849642272
linear_scalar,reduction_free_energy,100,1,0,80,20,e9d0ac0498eb5191a954f727d5122104091d0331a62b523dc8b3bcf159f79a53,194e261e4fa706265f7b64e8e04b40e4b496c96b4cb24bd4ebde9bf31abe83d5,0.3683275568202844,0.5323647022529049,0.8209289218823962
linear_scalar,reduction_free_energy,100,1,1,80,20,21d875f332408d95c03af7bc410cc660cea65d5fa3bdad22928d526b8899e8a0,50a8453672dc4635364086a338ee3ee22207e6a2bad6957ab8ca5753d39c4800,0.5013625644524774,0.8195497912467105,0.6276887909302297
linear_scalar,reduction_free_energy,100,1,2,80,20,e91785ed05324c8099e53f7df2e52a048ae514966684cf27ca992cb3cd8381a4,99be64a805b12cbf6c1944f3070101d833f5c35af056bc3eb608eb44c1ca9140,0.5768197483078138,0.911970473713625,0.41593480444003306
linear_scalar,reduction_free_energy,100,1,3,80,20,bb0968faee81324c6c83d1904ad05663b405c889b116a04acd4629c5a8bdeb6c,2e9fb23fa8e2fdc0f4445ed61122c04e487369733394212c903065d721fc5d3c,0.33084859114119414,0.5134154215510265,0.7923652537623813
linear_scalar,reduction_free_energy,100,1,4,80,20,bf4e23511e0a476e49b5cd5a2f2be4c73510121b16eec0ca3cea33eb0616e32e,7f47ccfc1cf59a4909a0856aac026f637668c7f1aba468fc06da688d9a8ce211,0.5025356553626861,0.6811599013060837,0.754086830774798
linear_scalar,reduction_free_energy,100,2,0,80,20,92c1ecdc247551f87d8509103e7e0f4a422e2224aba22a588d7115bab8dcb469,574c9272f6105d45b56c82a65c3b338837639e04e1daaebe0da62f197a4b601b,0.5010086156837728,0.8304938727788732,0.5443678893781292
linear_scalar,reduction_free_energy,100,2,1,80,20,74eb192116d63b48a7c4c76ca1ea4bf7dedd56c87e53724522aa887c14229dde,35b19d64c50cad4b05a50cb601bc77097d81fa0c6381145f2ffce02e9bdb8ec7,0.5461926807992878,0.904282125054727,0.4062904039150098
linear_scalar,reduction_free_energy,100,2,2,80,20,8b5668edb25d5879eaaa522752f81cde852d1632739cdcb6a17d031404d10926,739f567d8ba0f448af9732b792d7dc03647a8a4c5125ad723161a57fa9fbb25e,0.3925756143238333,0.5588350892872179,0.7795602371240178
linear_scalar,reduction_free_energy,100,2,3,80,20,54023a353a38f6e61b78cb1ac69648cc0c932b0eddc5ec0f2a36d4b8f948bd92,d55d1a41a186de5d4d671a411900234fe2754821af0121952802c560f77d56ad,0.4490373270971597,0.66635967019224,0.7850439982092255
linear_scalar,reduction_free_energy,100,2,4,80,20,95e18be0e697fa7acb899d05194fed5d05c35cb4bf90d06b88641aa5ea8cc1c9,5cef0ee0ca26fef5879a6de5428a02d1e15c0c6020acdf558d7697f4196854a1,0.39542080938880214,0.5309896083351457,0.8407244154948272
xgb_enriched,reduction_free_energy,100,0,0,80,20,e0657be07eda73ec2da5a8106d31c2595d776b428d822bc98b93121592f2332c,aad0b8d426378a9cf5923b85658828f3b7330750d3c3731f95bc38493a8e01e8,0.39647232022034584,0.5288055365972791,0.8268630505965742
xgb_enriched,reduction_free_energy,100,0,1,80,20,865773e480c6ec0d26f284c13d5db595e14a07033b29528450f1a1ddb3604c44,0c3afeef0e65ab589cb73137393fe345678aa74d2a65ddd1a67368bd776f8fd1,0.5107787669616755,0.6331232535656706,0.7618919618524364
xgb_enriched,reduction_free_energy,100,0,2,80,20,0e1bd972c700b337039baf6ae0274d2dc0c297615b8fbb9c6e11ea9f466860dc,3671bbe8709d9fd6343511ba08134538accb64ad806d5390bf8a5a50eed5da82,0.44891654678051507,0.7459581000049152,0.531481625600617
xgb_enriched,reduction_free_energy,100,0,3,80,20,c52441db2cf8255423e43c5f3de4bb199a2c4ee222a1442aea7f9173456b47b3,216712cc11b82f72d3aea0c9b67792ba806a31ae9bd6d08c5d67418fcef4219c,0.5552131332122826,0.9293755027018193,0.4139092852658268
xgb_enriched,reduction_free_energy,100,0,4,80,20,82ceb6f388af0808f0a3a638f85ab891623bd8f3ae35d8a2c0447d8e4048671f,32931c167f57940f282edf1f574eb8d7b48cd1be61417fa6b22a8720e4e5f344,0.40435615848514317,0.5142869960670651,0.8461814457361252
xgb_enriched,reduction_free_energy,100,1,0,80,20,e9d0ac0498eb5191a954f727d5122104091d0331a62b523dc8b3bcf159f79a53,194e261e4fa706265f7b64e8e04b40e4b496c96b4cb24bd4ebde9bf31abe83d5,0.5801110249856265,0.8253496041416345,0.5695895192355149
xgb_enriched,reduction_free_energy,100,1,1,80,20,21d875f332408d95c03af7bc410cc660cea65d5fa3bdad22928d526b8899e8a0,50a8453672dc4635364086a338ee3ee22207e6a2bad6957ab8ca5753d39c4800,0.5346502140598659,0.8162307670759005,0.6306982669072667
xgb_enriched,reduction_free_energy,100,1,2,80,20,e91785ed05324c8099e53f7df2e52a048ae514966684cf27ca992cb3cd8381a4,99be64a805b12cbf6c1944f3070101d833f5c35af056bc3eb608eb44c1ca9140,0.523601630966823,0.8313836957546984,0.514596639498226
xgb_enriched,reduction_free_energy,100,1,3,80,20,bb0968faee81324c6c83d1904ad05663b405c889b116a04acd4629c5a8bdeb6c,2e9fb23fa8e2fdc0f4445ed61122c04e487369733394212c903065d721fc5d3c,0.32329022421654374,0.4141141098024136,0.8649165111763004
xgb_enriched,reduction_free_energy,100,1,4,80,20,bf4e23511e0a476e49b5cd5a2f2be4c73510121b16eec0ca3cea33eb0616e32e,7f47ccfc1cf59a4909a0856aac026f637668c7f1aba468fc06da688d9a8ce211,0.5299405557451564,0.7192183605277103,0.725839318779176
xgb_enriched,reduction_free_energy,100,2,0,80,20,92c1ecdc247551f87d8509103e7e0f4a422e2224aba22a588d7115bab8dcb469,574c9272f6105d45b56c82a65c3b338837639e04e1daaebe0da62f197a4b601b,0.474726780470246,0.7647796991182184,0.6136204250499016
xgb_enriched,reduction_free_energy,100,2,1,80,20,74eb192116d63b48a7c4c76ca1ea4bf7dedd56c87e53724522aa887c14229dde,35b19d64c50cad4b05a50cb601bc77097d81fa0c6381145f2ffce02e9bdb8ec7,0.4110419958204602,0.8150058425535099,0.5177329171239418
xgb_enriched,reduction_free_energy,100,2,2,80,20,8b5668edb25d5879eaaa522752f81cde852d1632739cdcb6a17d031404d10926,739f567d8ba0f448af9732b792d7dc03647a8a4c5125ad723161a57fa9fbb25e,0.4659407987487839,0.6618839466801775,0.6907666711833096
xgb_enriched,reduction_free_energy,100,2,3,80,20,54023a353a38f6e61b78cb1ac69648cc0c932b0eddc5ec0f2a36d4b8f948bd92,d55d1a41a186de5d4d671a411900234fe2754821af0121952802c560f77d56ad,0.4771832854936747,0.6140358631458551,0.8174761416623748
