model,target,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
linear_scalar,oxidation_free_energy,42,0,0,313,79,257c1a40cf8a7722b89a760e34c6eeb2edb95c2d4239a7e5b91b9d7c348a4be9,da5111fe7a821f6f40195a5b5bc8f97aae92fdb7354be04dfb1d95f5b2012a7e,0.2914674397416095,0.415725915086461,0.8763368312853927
ridge_enriched,oxidation_free_energy,42,0,0,313,79,257c1a40cf8a7722b89a760e34c6eeb2edb95c2d4239a7e5b91b9d7c348a4be9,da5111fe7a821f6f40195a5b5bc8f97aae92fdb7354be04dfb1d95f5b2012a7e,0.3572199692589141,0.4749069953872316,0.8386223792332606
gpr_enriched,oxidation_free_energy,42,0,0,313,79,257c1a40cf8a7722b89a760e34c6eeb2edb95c2d4239a7e5b91b9d7c348a4be9,da5111fe7a821f6f40195a5b5bc8f97aae92fdb7354be04dfb1d95f5b2012a7e,0.25552029358565126,0.3725379615605422,0.9006958856608047
xgb_enriched,oxidation_free_energy,42,0,0,313,79,257c1a40cf8a7722b89a760e34c6eeb2edb95c2d4239a7e5b91b9d7c348a4be9,da5111fe7a821f6f40195a5b5bc8f97aae92fdb7354be04dfb1d95f5b2012a7e,0.22222325958478858,0.3479481298499064,0.9133726183502344
xgb_structure_only,oxidation_free_energy,42,0,0,313,79,257c1a40cf8a7722b89a760e34c6eeb2edb95c2d4239a7e5b91b9d7c348a4be9,da5111fe7a821f6f40195a5b5bc8f97aae92fdb7354be04dfb1d95f5b2012a7e,0.4484949009230161,0.6542634677602591,0.6937109173982614
dummy_mean,oxidation_free_energy,42,0,0,313,79,257c1a40cf8a7722b89a760e34c6eeb2edb95c2d4239a7e5b91b9d7c348a4be9,da5111fe7a821f6f40195a5b5bc8f97aae92fdb7354be04dfb1d95f5b2012a7e,0.9173606313533431,1.2022911536987673,-0.03429750713169266
linear_scalar,oxidation_free_energy,43,0,1,313,79,42a187a8001821d9689943d5ff53e2dbd0f8ffe963f3dc5be5fce1ce21404300,2e5d40dc244a1e59c315fa54f4cf1a626ec6bbb4a0dfafd437c73a6bc685d22d,0.2573190694175785,0.3139036780490462,0.9267143443854124
ridge_enriched,oxidation_free_energy,43,0,1,313,79,42a187a8001821d9689943d5ff53e2dbd0f8ffe963f3dc5be5fce1ce21404300,2e5d40dc244a1e59c315fa54f4cf1a626ec6bbb4a0dfafd437c73a6bc685d22d,0.2138986870212295,0.27748776539415526,0.9427317584980252
gpr_enriched,oxidation_free_energy,43,0,1,313,79,42a187a8001821d9689943d5ff53e2dbd0f8ffe963f3dc5be5fce1ce21404300,2e5d40dc244a1e59c315fa54f4cf1a626ec6bbb4a0dfafd437c73a6bc685d22d,0.21414301100948585,0.27584915368022705,0.9434061186058158
xgb_enriched,oxidation_free_energy,43,0,1,313,79,42a187a8001821d9689943d5ff53e2dbd0f8ffe963f3dc5be5fce1ce21404300,2e5d40dc244a1e59c315fa54f4cf1a626ec6bbb4a0dfafd437c73a6bc685d22d,0.18294475004319183,0.24992557807454538,0.9535433831966076
xgb_structure_only,oxidation_free_energy,43,0,1,313,79,42a187a8001821d9689943d5ff53e2dbd0f8ffe963f3dc5be5fce1ce21404300,2e5d40dc244a1e59c315fa54f4cf1a626ec6bbb4a0dfafd437c73a6bc685d22d,0.4648200578388391,0.6864912859684895,0.6494933788547685
dummy_mean,oxidation_free_energy,43,0,1,313,79,42a187a8001821d9689943d5ff53e2dbd0f8ffe963f3dc5be5fce1ce21404300,2e5d40dc244a1e59c315fa54f4cf1a626ec6bbb4a0dfafd437c73a6bc685d22d,0.8593806511462141,1.1640977137725799,-0.007871213480917794
linear_scalar,oxidation_free_energy,44,0,2,314,78,7c677520b510430398f56b3b8d3f1cec6876bd8afed7cb37b4abe9fd0649ce30,882276d2c2a57b671928d085ce6f625289a57383a4d18e036f35da07c8817fd0,0.2978548723502935,0.42215224000988494,0.9106293973259612
ridge_enriched,oxidation_free_energy,44,0,2,314,78,7c677520b510430398f56b3b8d3f1cec6876bd8afed7cb37b4abe9fd0649ce30,882276d2c2a57b671928d085ce6f625289a57383a4d18e036f35da07c8817fd0,0.28617427781303906,0.3850422548782512,0.9256513179277053
gpr_enriched,oxidation_free_energy,44,0,2,314,78,7c677520b510430398f56b3b8d3f1cec6876bd8afed7cb37b4abe9fd0649ce30,882276d2c2a57b671928d085ce6f625289a57383a4d18e036f35da07c8817fd0,0.26551688441808113,0.38371486161524593,0.9261630530777003
xgb_enriched,oxidation_free_energy,44,0,2,314,78,7c677520b510430398f56b3b8d3f1cec6876bd8afed7cb37b4abe9fd0649ce30,882276d2c2a57b671928d085ce6f625289a57383a4d18e036f35da07c8817fd0,0.2167929756843268,0.3509908613667958,0.9382199708928454
xgb_structure_only,oxidation_free_energy,44,0,2,314,78,7c677520b510430398f56b3b8d3f1cec6876bd8afed7cb37b4abe9fd0649ce30,882276d2c2a57b671928d085ce6f625289a57383a4d18e036f35da07c8817fd0,0.5876578130744,0.8910923873698264,0.6017993565161748
dummy_mean,oxidation_free_energy,44,0,2,314,78,7c677520b510430398f56b3b8d3f1cec6876bd8afed7cb37b4abe9fd0649ce30,882276d2c2a57b671928d085ce6f625289a57383a4d18e036f35da07c8817fd0,1.055911475072112,1.4126091160877643,-0.0006921655456586517
linear_scalar,oxidation_free_energy,45,0,3,314,78,2664279143d4a30f32208b9c705fc6a48232aafd3d2bbb0215b41927361b2e4c,022d4fa0cd6362b1568123d52b1ec4984290ce28295aede734d9275710eacb1e,0.3004687104601257,0.3697352669127357,0.9350842778320777
ridge_enriched,oxidation_free_energy,45,0,3,314,78,2664279143d4a30f32208b9c705fc6a48232aafd3d2bbb0215b41927361b2e4c,022d4fa0cd6362b1568123d52b1ec4984290ce28295aede734d9275710eacb1e,0.289018857788776,0.36842453182074575,0.9355437227522144
gpr_enriched,oxidation_free_energy,45,0,3,314,78,2664279143d4a30f32208b9c705fc6a48232aafd3d2bbb0215b41927361b2e4c,022d4fa0cd6362b1568123d52b1ec4984290ce28295aede734d9275710eacb1e,0.23359378668368683,0.3142041291219415,0.9531195346323182
xgb_enriched,oxidation_free_energy,45,0,3,314,78,2664279143d4a30f32208b9c705fc6a48232aafd3d2bbb0215b41927361b2e4c,022d4fa0cd6362b1568123d52b1ec4984290ce28295aede734d9275710eacb1e,0.21994965738510985,0.32433274932407474,0.9500483607248393
xgb_structure_only,oxidation_free_energy,45,0,3,314,78,2664279143d4a30f32208b9c705fc6a48232aafd3d2bbb0215b41927361b2e4c,022d4fa0cd6362b1568123d52b1ec4984290ce28295aede734d9275710eacb1e,0.5988658521562229,0.8335924062142903,0.6700291029562058
dummy_mean,oxidation_free_energy,45,0,3,314,78,2664279143d4a30f32208b9c705fc6a48232aafd3d2bbb0215b41927361b2e4c,022d4fa0cd6362b1568123d52b1ec4984290ce28295aede734d9275710eacb1e,1.127838913698373,1.4704205002369712,-0.026718141672481766
linear_scalar,oxidation_free_energy,46,0,4,314,78,6880fa860feee20d304bcaaf8859cbdbab84a194cd1480fb586957e9b23eb935,54658268ffac27620e8cbdf6e48fc8aec6d209a6f52ae07dc607944d2a6b56ef,0.22866002380525238,0.2689726462944738,0.9477869861336057
ridge_enriched,oxidation_free_energy,46,0,4,314,78,6880fa860feee20d304bcaaf8859cbdbab84a194cd1480fb586957e9b23eb935,54658268ffac27620e8cbdf6e48fc8aec6d209a6f52ae07dc607944d2a6b56ef,0.255715213114496,0.3485328238922586,0.9123302231765438
