list,inchikey,name,smiles,target_dielectric,predicted_dielectric,domain_flag,donor_count,is_champion,champion_short,rank,in_top20,n_repeats,fold_aggregation,delta_log10_vs_truth,abs_delta_log10_vs_truth,pilot_label
solvent,AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,CNc1ccccc1,5.878,6.49723122837,outside_associated_liquid,1,false,,156,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.043498741304,0.043498741304,stage_1_pilot_not_a_verdict
solvent,ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12.5,10.1537638009,inside_domain,0,false,,105,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.090282956475,0.090282956475,stage_1_pilot_not_a_verdict
solvent,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,15.736,11.2505319747,outside_associated_liquid,1,false,,97,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.145721288623,0.145721288623,stage_1_pilot_not_a_verdict
solvent,BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,7.021,7.24944233525,inside_domain,0,false,,143,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.0139056266346,0.0139056266346,stage_1_pilot_not_a_verdict
solvent,BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,12.65,11.7565508149,outside_associated_liquid,1,false,,93,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.0318106001811,0.0318106001811,stage_1_pilot_not_a_verdict
solvent,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,21.3,14.5173033106,outside_associated_liquid,1,false,,71,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.166493652784,0.166493652784,stage_1_pilot_not_a_verdict
solvent,BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,O=C1CCCC1,13.505,15.3587742335,inside_domain,0,false,,67,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.0558619680004,0.0558619680004,stage_1_pilot_not_a_verdict
solvent,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,CCCCCCCCC,1.98,2.49856552306,inside_domain,0,false,,233,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.101025552722,0.101025552722,stage_1_pilot_not_a_verdict
solvent,BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",CCC(O)CO,22.143,21.9031177564,outside_associated_liquid,2,false,,29,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.00473052200955,0.00473052200955,stage_1_pilot_not_a_verdict
solvent,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,16.6,10.3114144678,outside_associated_liquid,1,false,,103,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.206789844343,0.206789844343,stage_1_pilot_not_a_verdict
solvent,BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,N#CCCCCC#N,32.12,26.7538344084,inside_domain,0,false,,13,true,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.0793895019108,0.0793895019108,stage_1_pilot_not_a_verdict
solvent,BTNXBLUGMAMSSH-UHFFFAOYSA-N,octanedinitrile,N#CCCCCCCC#N,25.94,18.911138258,inside_domain,0,false,,48,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.137252302009,0.137252302009,stage_1_pilot_not_a_verdict
solvent,CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,CC(C)(N)CO,20.59,23.6718114678,outside_associated_liquid,2,false,,18,true,10,mean_over_the_10_out_of_fold_repeat_predictions,0.0605751466459,0.0605751466459,stage_1_pilot_not_a_verdict
solvent,CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,O=C1CCCCCC1,12.92,12.5194412215,inside_domain,0,false,,86,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.0136775681591,0.0136775681591,stage_1_pilot_not_a_verdict
solvent,CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,C=CC(=O)OCCCC,5.31,6.95271380939,inside_domain,0,false,,148,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.117059832055,0.117059832055,stage_1_pilot_not_a_verdict
solvent,CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,CN(CCO)CCO,22.12,23.1991803288,outside_associated_liquid,2,false,,23,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.020687518078,0.020687518078,stage_1_pilot_not_a_verdict
solvent,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,CC(C)(C)O,12.49,10.5717062201,outside_associated_liquid,1,false,,101,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.0724173524685,0.0724173524685,stage_1_pilot_not_a_verdict
solvent,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",CC(O)CO,27.87,38.6572255142,outside_associated_liquid,2,false,,3,true,10,mean_over_the_10_out_of_fold_repeat_predictions,0.142093712146,0.142093712146,stage_1_pilot_not_a_verdict
solvent,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,CCCCOCCCC,3.106,3.3767976026,inside_domain,0,false,,218,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.0363035794214,0.0363035794214,stage_1_pilot_not_a_verdict
solvent,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,12.9,19.6179023261,inside_domain,0,false,,42,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.182062857633,0.182062857633,stage_1_pilot_not_a_verdict
solvent,FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylethanamide",CC(=O)N(C)C,37.72,19.0684465224,inside_domain,0,false,,46,false,10,mean_over_the_10_out_of_fold_repeat_predictions,-0.296256370896,0.296256370896,stage_1_pilot_not_a_verdict
solvent,FYIRUPZTYPILDH-UHFFFAOYSA-N,"1,1,1,2,3,3-hexafluoropropane",FC(F)C(F)C(F)(F)F,5.3105,5.91171023311,inside_domain,0,false,,171,false,10,mean_over_the_10_out_of_fold_repeat_predictions,0.0465777254652,0.0465777254652,stage_1_pilot_not_a_verdict
