substance,inchikey,cas,reaxys_registry_number,channel,reaxys_section,reaxys_category,value_raw,unit_raw,value_si,temperature_raw_C,temperature_K,location,reference,row_kind,access,reaxys_crosscheck_only,note
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Dielectric Constant,5.4,,,25,298.15,,"Segura-Ramirez, Sole-Daura, Gomez-Mingot, Fontecave, Sanchez-Sanchez; ChemSusChem 2026, 19(6), e202502570",numeric,restricted_crosscheck_only,TRUE,a single outlier against every other EC entry
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Dielectric Constant,89.78,,,,,supporting information,"Xu, Zhang, Li, Chen, Zhou, Zhang, Wu; Chinese Chemical Letters 2026, 37(8), 111263",numeric,restricted_crosscheck_only,TRUE,"the same number as the Schroeder row, here with NO temperature"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Dielectric Constant,89.78,,,25,298.15,,"Schroeder, Hubaud, Vaughey; Materials Research Bulletin 2014, 49(1), 614-617",numeric,restricted_crosscheck_only,TRUE,lesson B: a 25 C tag on a value whose own series sits at 36-40 C
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Dielectric Constant,,,,,,,"Maquestian et al.; Bulletin des Societes Chimiques Belges 1971, 80, 17,22",reference_only,restricted_crosscheck_only,TRUE,"reference indexed, no numeric value"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Dielectric Constant,,,,,,,"D'Aprano; Gazzetta Chimica Italiana 1974, 104, 91",reference_only,restricted_crosscheck_only,TRUE,"reference indexed, no numeric value"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,90.5,,,40,313.15,,"Chernyak, Yury; Journal of Chemical and Engineering Data 2006, 51(2), 416-418",numeric,restricted_crosscheck_only,TRUE,matches the shipped v0.4 primary leg value and temperature exactly
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,90.05,,,40,313.15,,"Naejus, Damas, Lemordant, Coudert, Willmann; Journal of Chemical Thermodynamics 2002, 34(6), 795-806",numeric,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,90.8,,,36,309.15,,"Seward, Vieira; Journal of Physical Chemistry 1958, 62, 127",numeric,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,89.6,,,40,313.15,,"Kempa, Lee; Journal of the Chemical Society 1958, 1936",numeric,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,85.1,,,50,323.15,,"Seward, Vieira; Journal of Physical Chemistry 1958, 62, 127",numeric,restricted_crosscheck_only,TRUE,
