queue_rank,compound,short,cas,inchikey,reaxys_property_category,reaxys_n_entries_in_category,value,frequency_Hz,temperature_C,location,comment,reference,local_observations_v11plus,net_new_vs_local,provenance_tag,access,note
1,fluoroethylene carbonate,FEC,114435-02-8,SBLRHMKNNHXPHG-UHFFFAOYSA-N,Static Dielectric Constant,1,78.4,,23,,,"Kobayashi, Masafumi; Inoguchi, Tetsuya; Iida, Takashi; Tanioka, Takashi; Kumase, Hiroshi; Fukai, Yasushi - Journal of Fluorine Chemistry, 2003, vol. 120, #2, p. 105-110",1,0,reaxys_crosscheck_only,restricted_crosscheck_only,与冻结行同源同温；Reaxys 无 107 腿；Static Dielectric Constant 类别无频率/方法列
2,vinylene carbonate,VC,872-36-6,VAYTZRYEBVHVLE-UHFFFAOYSA-N,Dielectric Constant,1,,,,,,"Saadi; Lee - Journal of the Chemical Society B: Physical Organic, 1966, p. 5",1,0,reaxys_crosscheck_only,restricted_crosscheck_only,数值/频率/温度/Location/Comment 五列全空；DOI 10.1039/j29660000005 与冻结行 source_doi 逐字相同
3,gamma-valerolactone,GVL,108-29-2,JYVATQXCHBTGRN-UHFFFAOYSA-N,Dielectric Constant,1,36.9,,,supporting information,,"Segato, Jacopo; Baratta, Walter; Belanzoni, Paola; Belpassi, Leonardo; Del Zotto, Alessandro; Zuccaccia, Daniele - Inorganica Chimica Acta, 2021, vol. 522",0,1,reaxys_crosscheck_only,restricted_crosscheck_only,本地观测表 0 行 → 唯一真缺口；Reaxys 36.9 vs 冻结行 36.1（iScience 2026 综述表）冲突，且都无温度
4,"1,2-dimethoxyethane",DME,110-71-4,XTHFKEDIFFGKHM-UHFFFAOYSA-N,Dielectric Constant,7,7.2,,,,,"Rohani; Horne; Murthy - Organic Process Research and Development, 2005, vol. 9, #6, p. 858-872",9,0,reaxys_crosscheck_only,restricted_crosscheck_only,本地已有 9 个温度观测（288-338 K，两篇 JCT）
4,"1,2-dimethoxyethane",DME,110-71-4,XTHFKEDIFFGKHM-UHFFFAOYSA-N,Dielectric Constant,7,,,,,,"Perinu, Cristina; Arstad, Bjornar; Bouzga, Aud. M.; Jens, Klaus-J. - Journal of Physical Chemistry B, 2014, vol. 118, #34, p. 10167-10174",9,0,reaxys_crosscheck_only,restricted_crosscheck_only,本地已有 9 个温度观测（288-338 K，两篇 JCT）
4,"1,2-dimethoxyethane",DME,110-71-4,XTHFKEDIFFGKHM-UHFFFAOYSA-N,Dielectric Constant,7,7.2,,25,,,"Schroeder; Hubaud; Vaughey - Materials Research Bulletin, 2014, vol. 49, #1, p. 614-617",9,0,reaxys_crosscheck_only,restricted_crosscheck_only,本地已有 9 个温度观测（288-338 K，两篇 JCT）
4,"1,2-dimethoxyethane",DME,110-71-4,XTHFKEDIFFGKHM-UHFFFAOYSA-N,Dielectric Constant,7,7.2,10000,25,,,"Kumar; Janakiraman; Namboodirl; Gangadharan; Kanagaraj; Saminathan; Sharlef - Journal of Chemical and Engineering Data, 1991, vol. 36, #4, p. 467-470",9,0,reaxys_crosscheck_only,restricted_crosscheck_only,频率+温度齐全；本地无该源
4,"1,2-dimethoxyethane",DME,110-71-4,XTHFKEDIFFGKHM-UHFFFAOYSA-N,Dielectric Constant,7,7 - 9.1,1591,-30 - 25,,,"Werblan, Lidia; Suzdorf, Alicja; Lin, Emilia; Szymanski, Grzegorz; Lesinski, Jerzy - Bulletin of the Polish Academy of Sciences: Chemistry, 1985, vol. 33, #7-8, p. 285-296",9,1,reaxys_crosscheck_only,restricted_crosscheck_only,"唯一带温度区间的 DME 条目（7-9.1 @ -30..25 C, 1591 Hz）；本地无该源，属新线索而非独立佐证"
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,44.5,,19.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,44,,24.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,43.4,,29.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,42.8,,34.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,42.2,,39.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,41.6,,44.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,41.1,,49.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,40.4,,54.99,,,"Vahidi, Mehdi; Moshtari, Behnoosh - Thermochimica Acta, 2013, vol. 551, p. 1-6",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,与本地 8 行逐点一致（本地 293.15-328.15 K，同 DOI 10.1016/j.tca.2012.10.004）
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,43.4,,30,Liquid,,"Wu, Di; Wang, Yi Ze; Zhang, Gen Lei; Chen, Xiang Ying; Cui, Peng; Feng, Hua Jie - Small, 2024, vol. 20, #21, art. no. 2307945",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,本地无该源；30 C 处与本地 43.4@303.15 K 一致
5,sulfolane,SFL,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,Dielectric Constant,12,42.13,2E+06,20,,,"Laurence, Christian; Nicolet, Pierre; Dalati, M. Tawfik; Abboud, Jose-Luis M.; Notario, Rafael - Journal of Physical Chemistry, 1994, vol. 98, #23, p. 5807-5816",8,0,reaxys_crosscheck_only,restricted_crosscheck_only,2 MHz 高频值 42.13 @ 20 C；本地无该源
6,3-methoxypropionitrile,MOPN,110-67-8,OOWFYDWAMOKVSF-UHFFFAOYSA-N,（无 Dielectric Constant / Static Dielectric Constant 分类）,0,,,,,,"Strobykina, I. Yu.; Kataev, V. E.; Vereshchagin, A. N. - Bulletin of the Academy of Sciences of the USSR Division of Chemical Science, 1987, vol. 36, #9, p. 1965-1966 (Electrical Moment = dipole moment 4.04 D in dioxane; the substance record carries no dielectric class at all)",0,0,reaxys_crosscheck_only,restricted_crosscheck_only,三级否定（本轮独立复验）：① 物质记录 CAS 110-67-8 / Reaxys Registry 1739284 的 Physical Data 全 103 条、24 个类别逐项抄录，无任何介电类别（唯一电学量是 Electrical Moment）；② Quick search 结果卡 Property: dielectric constant 计数 0 Substances；③ 文献层 112 篇同时命中 MOPN 与 dielectric/permittivity，头部命中里真正涉及 3-MPN 的均以之作电解液溶剂，介电关键词只出现在索引词。结论：Reaxys 侧 MOPN 无介电值，冻结行 model_ready=false / conflict_status=awaiting_primary_confirmation 维持不变
