query_id,compound,short,cas,reaxys_registry_number,reaxys_property_category,reaxys_declared_entries,rendered_without_show_all,rendered_with_show_all,row_index,value,frequency_Hz,temperature_C,location,comment,reference,provenance_tag,access,note
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,1,64.9,,25,,,"Segura-Ramirez, Yutzil; Solé-Daura, Albert; Maria, Gomez-Mingot; Fontecave, Marc; Sánchez-Sánchez, Carlos M. - ChemSusChem, 2026, vol. 19, #6, art. no. e202502570",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 1 行）；25 °C 单点，无频率列值
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,2,64.92,,,supporting information,,"Xu, Caili; Zhang, Ming; Li, Pengyu; Chen, Cheng; Zhou, Haiping; Zhang, Shu; Wu, Mengqiang - Chinese Chemical Letters, 2026, vol. 37, #8, art. no. 111263",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 2 行）；值在 supporting information，无温度
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,3,64,,,supporting information,,"Segato, Jacopo; Baratta, Walter; Belanzoni, Paola; Belpassi, Leonardo; Del Zotto, Alessandro; Zuccaccia, Daniele - Inorganica Chimica Acta, 2021, vol. 522",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 3 行）；值在 supporting information，无温度
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,4,69,,25,,Liquid,"Sun, Yihan; Huang, Jinxia; Guo, Zhiguang - Chemical Communications, 2019, vol. 55, #92, p. 13876-13879",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 4 行）；Comment=Liquid
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,5,64.92,,25,,,"Schroeder; Hubaud; Vaughey - Materials Research Bulletin, 2014, vol. 49, #1, p. 614-617",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 5 行）；与上一轮第 5 行同源同值
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,6,62.93,2E+06,20,,,"Laurence, Christian; Nicolet, Pierre; Dalati, M. Tawfik; Abboud, Jose-Luis M.; Notario, Rafael - Journal of Physical Chemistry, 1994, vol. 98, #23, p. 5807-5816",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 6 行）；2 MHz 频率腿
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,7,63.41,2E+06,35,,,"Ritzoulis, George - Canadian Journal of Chemistry, 1989, vol. 67, p. 1105-1108",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 前已渲染（第 7 行）；2 MHz 频率腿
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,8,64,2E+06,30,,,"Ritzoulis, George - Canadian Journal of Chemistry, 1989, vol. 67, p. 1105-1108",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 后新读到（第 8 行，上一轮未闭合）；2 MHz 频率腿；同篇 Ritzoulis 1989 给出 25/30/35 °C 三点
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,9,64.4,2E+06,25,,,"Ritzoulis, George - Canadian Journal of Chemistry, 1989, vol. 67, p. 1105-1108",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 后新读到（第 9 行，上一轮未闭合）；2 MHz 频率腿
query_1_pc,propylene carbonate,PC,108-32-7,107913,Dielectric Constant,10,7,10,10,,,,,,"Maquestian et al. - Bulletin des Sociétés Chimiques Belges, 1971, vol. 80, p. 17,22; Gutmann; Schmid - Monatshefte für Chemie, 1969, vol. 100, p. 2113,2118",reaxys_crosscheck_only,restricted_crosscheck_only,Show all 后新读到（第 10 行，上一轮未闭合）；六列全空的无数值引用存根（两条题录合并在同一存根内）
