family,current_compounds,current_rows,current_distinct_sources,compounds_needed,sources_needed,candidate_rank,candidate_name,candidate_inchikey,candidate_source,candidate_family_confidence,local_rows,stocking_priority,evidence_needed,action,access
acid,1,1,1,4,1,1,Trifluoroacetic acid,DTQVDTLACAAQTR-UHFFFAOYSA-N,reaxys_stocking_queue,structural_smarts,0,P2,manual single-compound Reaxys property query,manual_reaxys_query,restricted_crosscheck_only
acid,1,1,1,4,1,2,Butyric acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,reaxys_stocking_queue,structural_smarts,0,P3,manual single-compound Reaxys property query,manual_reaxys_query,restricted_crosscheck_only
acid,1,1,1,4,1,3,Isovaleric acid,GWYFCOCPABKNJV-UHFFFAOYSA-N,reaxys_stocking_queue,structural_smarts,0,P3,manual single-compound Reaxys property query,manual_reaxys_query,restricted_crosscheck_only
acid,1,1,1,4,1,4,Valeric acid,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,reaxys_stocking_queue,structural_smarts,0,P3,manual single-compound Reaxys property query,manual_reaxys_query,restricted_crosscheck_only
acid,1,1,1,4,1,5,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,reaxys_stocking_queue,structural_smarts,1,P3,manual single-compound Reaxys property query,manual_reaxys_query,restricted_crosscheck_only
acid,1,1,1,4,1,6,(+-)-2-bromo-propionic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,7,(1-cyano-1-methyl-ethyl)-imidosulfurous acid dichloride,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,8,"2,2-dimethyl-octanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,9,"2,2-dimethyl-undecanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,10,"2,3,4-trimethyl hexanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,11,"2,3,5-trimethyl-hexanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,12,"2,5,9,13,17-pentamethyloctadecanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,13,"2,5,9-trimethyldecanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,14,"2,9,13,17-tetramethyloctadecanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,15,2-Methylpropanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,16,2-bromo-3-methyl butanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,17,2-bromo-butyric acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,18,2-ethyl-2-methyl-hexanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,19,2-ethyl-butyric acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,20,2-ethyl-heptanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,21,2-hydroxybutanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,22,"3,3-dimethyl-butyric acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,23,3-hydroxy-2-methyl-nonanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,24,3-hydroxy-butyric acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,25,4-oxo-pentanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,26,"5,9-dimethyl-decanoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,27,Aziridin-1-yl-phosphonic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,28,Butanoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,29,Chloroacetic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,30,"Cis,cis,cis-octadeca-9,12,15-trienoic acid",,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
acid,1,1,1,4,1,31,Cis-12-hydroxy-octadec-9-enoic acid,,springer_materials_title_index,name_keyword_only,,,manual single-compound query; restricted value stays a crosscheck,manual_lead_triage,restricted_crosscheck_only
