substance,inchikey,in_backfill_queue,reaxys_rn,cas,eps_rows,eps_valued,eps_point,eta_rows,eta_valued,eta_point,hp_rows,hp_valued,hp_point,redox_rows,redox_valued,redox_point,redox_point_from_comment,hp_point_property
trifluoroacetic acid,DTQVDTLACAAQTR-UHFFFAOYSA-N,true,742035,76-05-1,5,3,1,4,4,1,1,0,0,2,1,1,1,
butyric acid,FERIUCNNQQJTOY-UHFFFAOYSA-N,true,906770,107-92-6,10,9,9,24,22,21,5,3,3,2,0,0,0,Ionization Potential
isovaleric acid,GWYFCOCPABKNJV-UHFFFAOYSA-N,true,1098522,503-74-2,1,0,0,5,5,5,2,0,0,1,0,0,0,
2-hydroxyethylammonium lactate,NEQXUPRFDXNNTA-UHFFFAOYSA-N,true,11131066,,0,0,0,1,1,1,0,0,0,0,0,0,0,
valeric acid,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,true,969454,109-52-4,3,1,1,4,4,3,3,0,0,4,4,4,4,
acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,true,506007,64-19-7,39,35,31,51,49,44,11,10,7,9,0,0,0,Ionization Potential
triethanolamine lactate,RJQQOKKINHMXIM-UHFFFAOYSA-N,true,11131069,,0,0,0,1,1,1,0,0,0,0,0,0,0,
"1,2-propylene cyclic carbonate (propylene carbonate)",RUOJZAUFBMNUDX-UHFFFAOYSA-N,true,107913,108-32-7,20,18,17,76,73,64,0,0,0,1,0,0,0,
triethanolammonium acetate,UPCXAARSWVHVLY-UHFFFAOYSA-N,true,11131068,,0,0,0,1,1,1,0,0,0,0,0,0,0,
2-hydroxyethylammonium acetate,VVLAIYIMMFWRFW-UHFFFAOYSA-N,true,3685428,54300-24-2,0,0,0,2,2,2,2,0,0,0,0,0,0,
