queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
1,KMTRUDSVKNLOMY-UHFFFAOYSA-N,ethylene carbonate,O=C1OCCO1,90.5,313.15,0,0,carbonate,true,EC,true,yes,P1,public_local_metadata_plus_manual_reaxys_probe
2,RUOJZAUFBMNUDX-UHFFFAOYSA-N,propylene carbonate,CC1COC(=O)O1,64.9,298.15,0,0,carbonate,true,PC,true,yes,P1,public_local_metadata_plus_manual_reaxys_probe
3,JBTWLSYIZRCDFO-UHFFFAOYSA-N,ethyl methyl carbonate,CCOC(=O)OC,2.96,298.15,0,0,carbonate,false,,true,no,P2,public_local_metadata_only_not_yet_probed
4,BTQZKHUEUDPRST-UHFFFAOYSA-N,m-Fluorotoluene,Cc1cccc(F)c1,5.42,303.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
5,DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,O=C(O)C(F)(F)F,39.5,293.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
6,GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",FC(F)(F)c1ccccc1,9.18,303.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
7,GOYDNIKZWGIXJT-UHFFFAOYSA-N,"1,2-difluorobenzene",Fc1ccccc1F,7.1,298.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
8,HLLCNVLEVVFTJB-UHFFFAOYSA-N,2-Fluoro-2-methylbutane,CCC(C)(C)F,5.89,293.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
9,MMZYCBHLNZVROM-UHFFFAOYSA-N,o-Fluorotoluene,Cc1ccccc1F,4.22,303.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
10,OEPRBXUJOQLYID-UHFFFAOYSA-N,1-Fluoropentane,CCCCCF,4.24,293.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
11,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fluorobenzene,Fc1ccccc1,5.42,298.15,0,0,fluorinated,false,,true,no,P2,public_local_metadata_only_not_yet_probed
