representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-methylaniline,5.878,7.5529589653
Morgan,baseline_v0.3,0,ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,12.5,12.624833107
Morgan,baseline_v0.3,0,AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,15.736,14.2528572083
Morgan,baseline_v0.3,0,BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,7.021,12.9808998108
Morgan,baseline_v0.3,0,BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,12.65,12.2096242905
Morgan,baseline_v0.3,0,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,21.3,18.5026416779
Morgan,baseline_v0.3,0,BGTOWKSIORTVQH-UHFFFAOYSA-N,cyclopentanone,13.505,16.5368232727
Morgan,baseline_v0.3,0,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,1.98,3.95898509026
Morgan,baseline_v0.3,0,BMRWNKZVCUKKSR-UHFFFAOYSA-N,"1,2-butanediol",22.143,25.6246700287
Morgan,baseline_v0.3,0,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,16.6,10.5446577072
Morgan,baseline_v0.3,0,BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,32.12,27.8385658264
Morgan,baseline_v0.3,0,BTNXBLUGMAMSSH-UHFFFAOYSA-N,octanedinitrile,25.94,26.0842685699
Morgan,baseline_v0.3,0,CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,20.59,19.8841190338
Morgan,baseline_v0.3,0,CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,12.92,18.0993614197
Morgan,baseline_v0.3,0,CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,5.31,6.19753265381
Morgan,baseline_v0.3,0,CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,22.12,23.2082633972
Morgan,baseline_v0.3,0,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,12.49,11.1326274872
Morgan,baseline_v0.3,0,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",27.87,28.2107143402
Morgan,baseline_v0.3,0,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,3.106,3.42896080017
Morgan,baseline_v0.3,0,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,12.9,23.5924491882
Morgan,baseline_v0.3,0,FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylethanamide",37.72,19.3883342743
Morgan,baseline_v0.3,0,FYIRUPZTYPILDH-UHFFFAOYSA-N,"1,1,1,2,3,3-hexafluoropropane",5.3105,10.4429006577
Morgan,baseline_v0.3,0,GRYUVYIMDGRRLN-UHFFFAOYSA-N,"1-butyl-2,3,4,5-tetramethylimidazolium bis(trifluoromethylsulfonyl)imide",15,15.3410873413
Morgan,baseline_v0.3,0,GSEJCLTVZPLZKY-UHFFFAOYSA-N,triethanolamine,28.11,32.8771209717
Morgan,baseline_v0.3,0,HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,15.71,10.179936409
Morgan,baseline_v0.3,0,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,16.9,22.7568511963
Morgan,baseline_v0.3,0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,44,15.9024047852
Morgan,baseline_v0.3,0,HZAXFHJVJLSVMW-UHFFFAOYSA-N,2-aminoethan-1-ol,31.46,29.1146564484
Morgan,baseline_v0.3,0,HZKDSQCZNUUQIF-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium hydrogen sulfate,18.4,17.2141628265
Morgan,baseline_v0.3,0,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,46.05,15.3752241135
